Tournament,Date,Player1,Score1,Player2,Score2,Player3,Score3,Player4,Score4,Player_Count
Worlds 2026 Stage 5 - Lower 8 game 9,2026-07-03,Icallhimtest,205,Momomillion,180,takusto_II,160.0,,,3
Worlds 2026 Stage 5 - Upper 1 game 10,2026-07-03,Martin_Pecheur,249,maximpodg,200,Lander90,144.0,,,3
Worlds 2026 Stage 5 - Upper 1 game 7,2026-07-03,Martin_Pecheur,212,Majondor,178,maximpodg,175.0,,,3
Worlds 2026 Stage 5 - Lower 1 game 4,2026-07-04,GerisNezus,230,Kesterer,227,,,,,2
Worlds 2026 Stage 5 - Lower 1 game 6,2026-07-04,mikechike,132,Kesterer,125,,,,,2
Worlds 2026 Stage 5 - Lower 12 game 9,2026-07-04,Arne,239,DrRerNate,193,MiloslavIII,168.0,,,3
Worlds 2026 Stage 5 - Lower 13 game 12,2026-07-04,DrSniken,163,Budde,133,Sektat,117.0,dannyboy14,-4.0,4
Worlds 2026 Stage 5 - Lower 17 game 10,2026-07-04,wolvs,141,321letsjam,101,Fjantarik,-3.0,,,3
Worlds 2026 Stage 5 - Lower 2 game 12,2026-07-04,bryanckh,209,Tordread,183,Bad_Horse,155.0,tianren4561367,152.0,4
Worlds 2026 Stage 5 - Lower 2 game 7,2026-07-04,bryanckh,222,Tordread,169,Bad_Horse,131.0,,,3
Worlds 2026 Stage 5 - Lower 20 game 11,2026-07-04,totsilence,216,Angor,197,weisswurst,196.0,phoang,156.0,4
Worlds 2026 Stage 5 - Lower 23 game 8,2026-07-04,jhutc,167,AaronGreen,154,Beebs,138.0,,,3
Worlds 2026 Stage 5 - Lower 8 game 10,2026-07-04,CaesarSalah,246,Icallhimtest,219,Momomillion,205.0,,,3
Worlds 2026 Stage 5 - Lower 9 game 10,2026-07-04,Shagrat,158,BoatyMcBoatface,158,JSauve,-5.0,,,3
Worlds 2026 Stage 5 - Upper 3 game 11,2026-07-04,a440,231,ERock37,204,Doobie,194.0,Michiel,167.0,4
Worlds 2026 Stage 5 - Lower 11 game 4,2026-07-05,Raffaello,242,zoiedberg,170,,,,,2
Worlds 2026 Stage 5 - Lower 14 game 1,2026-07-05,bluecube,206,Gandin,173,,,,,2
Worlds 2026 Stage 5 - Lower 14 game 9,2026-07-05,Nickeberg,161,Drikhen,152,Gandin,149.0,,,3
Worlds 2026 Stage 5 - Lower 19 game 8,2026-07-05,Gavatron,224,WhateverParsley,138,LJSHUEN,133.0,,,3
Worlds 2026 Stage 5 - Lower 2 game 1,2026-07-05,bryanckh,2,Bad_Horse,-2,,,,,2
Worlds 2026 Stage 5 - Lower 2 game 3,2026-07-05,tianren4561367,1,Bad_Horse,-2,,,,,2
Worlds 2026 Stage 5 - Lower 22 game 10,2026-07-05,Weidenbaum,225,Kharny,149,Brightfuture,138.0,,,3
Worlds 2026 Stage 5 - Lower 24 game 7,2026-07-05,Raskonin,153,drodriguez,123,IdkIdcIdgaf,116.0,,,3
Worlds 2026 Stage 5 - Lower 4 game 10,2026-07-05,Straszyk,255,pv4,238,Masox,208.0,,,3
Worlds 2026 Stage 5 - Lower 4 game 8,2026-07-05,Hisbossness,195,pv4,174,Straszyk,169.0,,,3
Worlds 2026 Stage 5 - Lower 4 game 9,2026-07-05,Hisbossness,219,Straszyk,174,Masox,125.0,,,3
Worlds 2026 Stage 5 - Lower 5 game 1,2026-07-05,Silvester,145,Turdle,118,,,,,2
Worlds 2026 Stage 5 - Lower 5 game 10,2026-07-05,saru,256,Turdle,210,Silvester,173.0,,,3
Worlds 2026 Stage 5 - Lower 6 game 5,2026-07-05,FCKAFD,191,mrcy,161,,,,,2
Worlds 2026 Stage 5 - Lower 7 game 3,2026-07-05,Vovka,0,yaop,-2,,,,,2
Worlds 2026 Stage 5 - Lower 7 game 4,2026-07-05,Technicolourism,213,kevinsbane,165,,,,,2
Worlds 2026 Stage 5 - Lower 7 game 5,2026-07-05,kevinsbane,23,yaop,-2,,,,,2
Worlds 2026 Stage 5 - Lower 7 game 6,2026-07-05,Technicolourism,5,yaop,-2,,,,,2
Worlds 2026 Stage 5 - Upper 1 game 9,2026-07-05,Majondor,135,maximpodg,116,Lander90,97.0,,,3
Worlds 2026 Stage 5 - Upper 2 game 9,2026-07-05,SandHippo,255,Lech,183,zadokk,129.0,,,3
Worlds 2026 Stage 5 - Upper 3 game 9,2026-07-05,a440,212,Doobie,190,ERock37,189.0,,,3
Worlds 2026 Stage 5 - Lower 1 game 5,2026-07-06,GerisNezus,234,mikechike,195,,,,,2
Worlds 2026 Stage 5 - Lower 10 game 4,2026-07-06,pajada,232,poikai2,172,,,,,2
Worlds 2026 Stage 5 - Lower 10 game 5,2026-07-06,Grozz,174,pajada,91,,,,,2
Worlds 2026 Stage 5 - Lower 14 game 2,2026-07-06,Gandin,182,Nickeberg,147,,,,,2
Worlds 2026 Stage 5 - Lower 15 game 5,2026-07-06,jantteri,289,haimke,220,,,,,2
Worlds 2026 Stage 5 - Lower 16 game 3,2026-07-06,lhrljr,114,Flackk,17,,,,,2
Worlds 2026 Stage 5 - Lower 16 game 7,2026-07-06,arDKee,252,Flackk,131,maunzzz,-3.0,,,3
Worlds 2026 Stage 5 - Lower 18 game 9,2026-07-06,mwi,196,DyziK,155,HCsquared,147.0,,,3
Worlds 2026 Stage 5 - Lower 19 game 10,2026-07-06,LJSHUEN,185,Gavatron,147,Cogito3,144.0,,,3
Worlds 2026 Stage 5 - Lower 19 game 5,2026-07-06,Gavatron,186,LJSHUEN,128,,,,,2
Worlds 2026 Stage 5 - Lower 20 game 12,2026-07-06,weisswurst,215,totsilence,192,Angor,176.0,phoang,75.0,4
Worlds 2026 Stage 5 - Lower 21 game 1,2026-07-06,Spartan1337,92,discodancer,75,,,,,2
Worlds 2026 Stage 5 - Lower 21 game 3,2026-07-06,discodancer,317,MrBiz,274,,,,,2
Worlds 2026 Stage 5 - Lower 4 game 1,2026-07-06,pv4,262,Masox,106,,,,,2
Worlds 2026 Stage 5 - Lower 4 game 2,2026-07-06,Hisbossness,156,Masox,111,,,,,2
Worlds 2026 Stage 5 - Lower 5 game 2,2026-07-06,tupper,219,Turdle,185,,,,,2
Worlds 2026 Stage 5 - Lower 6 game 10,2026-07-06,FCKAFD,235,mrcy,196,Praetorianer,88.0,,,3
Worlds 2026 Stage 5 - Upper 1 game 1,2026-07-06,Martin_Pecheur,239,maximpodg,181,,,,,2
Worlds 2026 Stage 5 - Upper 2 game 4,2026-07-06,zoldaria,156,zadokk,155,,,,,2
Worlds 2026 Stage 5 - Upper 4 game 2,2026-07-06,kyshantry,198,Dantes,181,,,,,2
Worlds 2026 Stage 5 - Upper 4 game 4,2026-07-06,DANeo,261,Dantes,239,,,,,2
Worlds 2026 Stage 5 - Lower 1 game 2,2026-07-07,J0hnny_Utah7,61,Kesterer,-2,,,,,2
Worlds 2026 Stage 5 - Lower 10 game 1,2026-07-07,pajada,246,holy834,224,,,,,2
Worlds 2026 Stage 5 - Lower 10 game 2,2026-07-07,poikai2,242,holy834,213,,,,,2
Worlds 2026 Stage 5 - Lower 11 game 10,2026-07-07,Raffaello,261,Andiii,212,jezza101,211.0,,,3
Worlds 2026 Stage 5 - Lower 11 game 2,2026-07-07,Andiii,262,zoiedberg,244,,,,,2
Worlds 2026 Stage 5 - Lower 12 game 1,2026-07-07,Arne,181,Pitor,160,,,,,2
Worlds 2026 Stage 5 - Lower 12 game 5,2026-07-07,Pitor,206,MiloslavIII,139,,,,,2
Worlds 2026 Stage 5 - Lower 12 game 7,2026-07-07,Pitor,278,Arne,221,DrRerNate,195.0,,,3
Worlds 2026 Stage 5 - Lower 13 game 10,2026-07-07,DrSniken,298,Budde,240,Sektat,233.0,,,3
Worlds 2026 Stage 5 - Lower 15 game 3,2026-07-07,Jorrig,213,jantteri,196,,,,,2
Worlds 2026 Stage 5 - Lower 15 game 4,2026-07-07,Jaracz,217,haimke,86,,,,,2
Worlds 2026 Stage 5 - Lower 16 game 8,2026-07-07,arDKee,271,lhrljr,270,maunzzz,195.0,,,3
Worlds 2026 Stage 5 - Lower 19 game 7,2026-07-07,WhateverParsley,192,Cogito3,182,LJSHUEN,85.0,,,3
Worlds 2026 Stage 5 - Lower 22 game 4,2026-07-07,Malakesh,230,Kharny,147,,,,,2
Worlds 2026 Stage 5 - Lower 23 game 7,2026-07-07,Beebs,225,jhutc,216,Vantablack,-5.0,,,3
Worlds 2026 Stage 5 - Lower 3 game 9,2026-07-07,DarKStyle,189,FirstOfDao,187,DayWalker1337,164.0,,,3
Worlds 2026 Stage 5 - Lower 4 game 4,2026-07-07,pv4,148,Hisbossness,120,,,,,2
Worlds 2026 Stage 5 - Lower 5 game 9,2026-07-07,Turdle,198,tupper,156,saru,141.0,,,3
Worlds 2026 Stage 5 - Lower 6 game 4,2026-07-07,FCKAFD,165,darwinian,101,,,,,2
Worlds 2026 Stage 5 - Lower 6 game 6,2026-07-07,mrcy,272,darwinian,210,,,,,2
Worlds 2026 Stage 5 - Lower 9 game 12,2026-07-07,Shagrat,220,Sylvain,213,BoatyMcBoatface,167.0,JSauve,-4.0,4
Worlds 2026 Stage 5 - Upper 1 game 5,2026-07-07,Martin_Pecheur,190,Lander90,172,,,,,2
Worlds 2026 Stage 5 - Upper 2 game 6,2026-07-07,SandHippo,246,zadokk,234,,,,,2
Worlds 2026 Stage 5 - Upper 3 game 12,2026-07-07,a440,141,Michiel,133,ERock37,111.0,Doobie,-4.0,4
Worlds 2026 Stage 5 - Upper 4 game 1,2026-07-07,kyshantry,169,DANeo,148,,,,,2
Worlds 2026 Stage 5 - Lower 1 game 3,2026-07-08,J0hnny_Utah7,191,mikechike,116,,,,,2
Worlds 2026 Stage 5 - Lower 10 game 6,2026-07-08,Grozz,230,poikai2,209,,,,,2
Worlds 2026 Stage 5 - Lower 11 game 1,2026-07-08,Andiii,192,Raffaello,185,,,,,2
Worlds 2026 Stage 5 - Lower 11 game 6,2026-07-08,jezza101,353,zoiedberg,222,,,,,2
Worlds 2026 Stage 5 - Lower 13 game 7,2026-07-08,dannyboy14,227,Sektat,224,Budde,175.0,,,3
Worlds 2026 Stage 5 - Lower 15 game 1,2026-07-08,Jorrig,105,haimke,103,,,,,2
Worlds 2026 Stage 5 - Lower 16 game 9,2026-07-08,lhrljr,209,Flackk,180,arDKee,173.0,,,3
Worlds 2026 Stage 5 - Lower 18 game 6,2026-07-08,HCsquared,171,mwi,158,,,,,2
Worlds 2026 Stage 5 - Lower 22 game 5,2026-07-08,Weidenbaum,278,Kharny,136,,,,,2
Worlds 2026 Stage 5 - Lower 22 game 6,2026-07-08,Weidenbaum,13,Malakesh,-2,,,,,2
Worlds 2026 Stage 5 - Lower 24 game 8,2026-07-08,Dread_84,284,Raskonin,275,drodriguez,267.0,,,3
Worlds 2026 Stage 5 - Lower 8 game 7,2026-07-08,takusto_II,172,CaesarSalah,170,Momomillion,126.0,,,3
Worlds 2026 Stage 5 - Lower 9 game 7,2026-07-08,Sylvain,246,Shagrat,211,BoatyMcBoatface,198.0,,,3
Worlds 2026 Stage 5 - Lower 9 game 9,2026-07-08,JSauve,236,Sylvain,195,BoatyMcBoatface,161.0,,,3
Worlds 2026 Stage 5 - Upper 1 game 4,2026-07-08,Martin_Pecheur,192,Majondor,182,,,,,2
Worlds 2026 Stage 5 - Upper 2 game 1,2026-07-08,Lech,236,zoldaria,202,,,,,2
Worlds 2026 Stage 5 - Upper 2 game 3,2026-07-08,SandHippo,243,Lech,154,,,,,2
Worlds 2026 Stage 5 - Upper 4 game 6,2026-07-08,Wawrzyniec,221,Dantes,185,,,,,2
Worlds 2026 Stage 5 - Lower 10 game 3,2026-07-09,holy834,77,Grozz,73,,,,,2
Worlds 2026 Stage 5 - Lower 12 game 3,2026-07-09,Arne,196,MiloslavIII,144,,,,,2
Worlds 2026 Stage 5 - Lower 14 game 10,2026-07-09,bluecube,248,Drikhen,242,Gandin,229.0,,,3
Worlds 2026 Stage 5 - Lower 16 game 1,2026-07-09,maunzzz,189,Flackk,173,,,,,2
Worlds 2026 Stage 5 - Lower 16 game 5,2026-07-09,maunzzz,159,lhrljr,151,,,,,2
Worlds 2026 Stage 5 - Lower 17 game 1,2026-07-09,wolvs,181,321letsjam,168,,,,,2
Worlds 2026 Stage 5 - Lower 18 game 7,2026-07-09,Gutemetralla,263,mwi,198,DyziK,179.0,,,3
Worlds 2026 Stage 5 - Lower 2 game 5,2026-07-09,tianren4561367,199,bryanckh,196,,,,,2
Worlds 2026 Stage 5 - Lower 20 game 10,2026-07-09,totsilence,217,Angor,215,weisswurst,196.0,,,3
Worlds 2026 Stage 5 - Lower 20 game 9,2026-07-09,Angor,240,weisswurst,202,phoang,85.0,,,3
Worlds 2026 Stage 5 - Lower 21 game 5,2026-07-09,Spartan1337,258,MrBiz,231,,,,,2
Worlds 2026 Stage 5 - Lower 21 game 7,2026-07-09,Dots,260,Spartan1337,225,discodancer,220.0,,,3
Worlds 2026 Stage 5 - Lower 21 game 8,2026-07-09,Spartan1337,213,MrBiz,205,Dots,155.0,,,3
Worlds 2026 Stage 5 - Lower 22 game 9,2026-07-09,Brightfuture,219,Weidenbaum,219,Malakesh,193.0,,,3
Worlds 2026 Stage 5 - Lower 23 game 5,2026-07-09,AaronGreen,188,jhutc,122,,,,,2
Worlds 2026 Stage 5 - Lower 24 game 10,2026-07-09,IdkIdcIdgaf,193,drodriguez,121,Dread_84,80.0,,,3
Worlds 2026 Stage 5 - Lower 3 game 7,2026-07-09,DarKStyle,235,Eske,198,FirstOfDao,151.0,,,3
Worlds 2026 Stage 5 - Lower 7 game 1,2026-07-09,Vovka,239,kevinsbane,174,,,,,2
Worlds 2026 Stage 5 - Lower 8 game 6,2026-07-09,Icallhimtest,185,takusto_II,155,,,,,2
Worlds 2026 Stage 5 - Lower 9 game 1,2026-07-09,BoatyMcBoatface,177,Shagrat,139,,,,,2
Worlds 2026 Stage 5 - Lower 9 game 2,2026-07-09,Sylvain,167,BoatyMcBoatface,115,,,,,2
Worlds 2026 Stage 5 - Lower 9 game 3,2026-07-09,BoatyMcBoatface,73,JSauve,-2,,,,,2
Worlds 2026 Stage 5 - Upper 2 game 5,2026-07-09,SandHippo,158,zoldaria,155,,,,,2
Worlds 2026 Stage 5 - Upper 3 game 10,2026-07-09,Doobie,201,ERock37,183,Michiel,125.0,,,3
Worlds 2026 Stage 5 - Upper 3 game 3,2026-07-09,ERock37,188,Doobie,185,,,,,2
Worlds 2026 Stage 5 - Lower 1 game 1,2026-07-10,GerisNezus,138,J0hnny_Utah7,82,,,,,2
Worlds 2026 Stage 5 - Lower 14 game 8,2026-07-10,bluecube,320,Nickeberg,222,Drikhen,196.0,,,3
Worlds 2026 Stage 5 - Lower 15 game 6,2026-07-10,Jaracz,160,jantteri,135,,,,,2
