,,place,player,points,#,wrld,ic_30,ic_31,ic_32,ic_33,im_27,im_28,im_29,im_30,rl_05,rl_06,rl_07,rl_08,wmbl,aus,sl,ml,eif,qd
,,80,funnytortoise,1 390,12,260,105,165,140,95,140,180,90,102,,,,,150,,,99,250,
,,81,Doobie,1 370,17,320,130,125,85,165,76,102,115,115,60,82,150,135,45,10,230,,105,
,,82,Malakesh,1 336,11,170,,,,46,,20,56,90,60,120,200,160,480,,,25,,
,,83,BoatyMcBoatface,1 295,16,210,150,140,165,140,102,140,100,102,115,110,135,125,150,,200,112,,
,,84,Snucka,1 289,8,390,27,46,,,102,,,,82,130,,,480,,,32,,
,,85,Jorrig,1 264,6,260,105,85,,,64,,,,,,,,90,660,,,,
,#N/A,86,drodriguez,1 245,15,210,69,92,85,105,56,102,185,210,95,150,105,70,,,124,156,,
,,87,Shagrat,1 225,17,115,92,125,95,85,102,90,64,55,110,115,110,90,,40,240,130,280,
,,88,Phalanxx,1 222,15,210,105,95,105,85,185,180,115,,95,110,125,,45,40,43,192,,
,,89,Kolo,1 212,4,,,,,,,,102,,,200,440,470,,,,,,
,#N/A,90,Fjantarik,1 208,9,470,140,125,80,69,160,100,64,64,,,,,,,,,,
,,91,Wawrzyniec,1 185,2,,,,,,185,,,,,,,,,,1000,,,
,,92,ed_vins,1 140,16,260,69,43,46,95,76,102,90,102,55,80,90,130,,,29,260,101,
,,93,borz.zrob,1 114,9,130,260,140,125,140,102,115,76,102,,,,,,,,,,
,,94,Unterjochen,1 109,18,130,105,75,47,43,90,76,55,56,80,100,125,150,45,40,134,205,160,
,#N/A,95,WhateverParsley,1 105,12,260,130,105,85,165,,64,76,55,80,110,170,,,40,,,,
,,96,Plunderteig,1 100,1,1100,,,,,,,,,,,,,,,,,,
,,97,Hisbossness,1 099,15,140,92,75,92,85,102,140,140,90,70,150,150,125,,,152,4,,
,,98,jhutc,1 082,10,320,46,92,,,102,,,,100,75,,,90,,192,100,86,
,,99,SpartacusImperator,1 080,5,,230,300,280,260,,,,,,,,,,10,,,,
,#N/A,100,LeonidasI,1 079,16,170,92,75,69,59,90,55,35,56,160,80,45,32,240,,172,74,,
,,101,Oprah,1 078,9,210,95,95,,,160,90,,,,,,,150,40,,148,130,
,,101,PhiTrigger,1 078,13,210,165,150,130,95,115,90,64,55,,,,,90,10,98,,115,
,,103,Drikhen,1 062,9,,27,46,,,56,,,,95,150,285,,150,,55,225,,
,,104,Kay,1 055,16,130,170,150,130,125,42,56,115,100,105,95,100,130,45,,104,,,20
,,105,jingjing123,1 052,17,210,92,105,165,140,35,56,102,140,95,75,95,80,10,,42,78,48,
,,106,Masox,1 046,18,260,92,75,69,52,100,55,42,56,130,105,63,70,25,100,18,89,170,
,,107,maiquelPS,1 040,10,140,150,130,75,59,140,140,115,115,,,,,,,,,110,
,,108,Raulone,1 037,4,570,,,,,102,185,180,,,,,,,,,,,
,,109,Turdle,1 033,19,130,95,85,95,165,90,76,102,100,115,130,115,80,90,40,77,176,95,70
,,109,heisenberg_97,1 033,8,,165,230,130,95,56,102,140,115,,,,,,,,,,
,,111,Pitor,1 015,8,,,,27,92,,,56,185,,,170,230,,,75,180,,
,,112,DiddleySquat,1 014,8,,125,80,47,92,140,250,180,100,,,,,,,,,,
,#N/A,113,ciufile,1 000,13,390,,27,40,46,56,102,100,102,55,45,60,80,,,110,,,
,,114,CouchKing,969,14,260,130,95,125,105,76,49,56,49,,,,,45,100,78,41,65,
,,115,Shadowiscool500,966,14,210,125,75,47,59,55,35,35,27,44,44,95,,45,300,,,,
,#N/A,116,brunoerwin,954,12,210,85,125,95,80,56,64,64,102,,,,,,40,132,,125,
,,116,MartinW,954,13,390,69,47,52,92,42,35,30,30,,,,,10,10,130,132,,
,,118,Nightvayne,952,13,115,75,59,92,95,185,160,140,90,60,45,28,28,,,,,,
,,119,Dots,950,1,950,,,,,,,,,,,,,,,,,,
,#N/A,120,daggsea,949,10,170,23,46,69,52,,,,,45,52,120,200,240,,,,,
,,121,eggmancs,944,7,320,,,,,,,,,60,82,150,115,150,,67,,,
,,122,RudyRunner666,943,8,,80,92,105,105,64,102,185,210,,,,,,,,,,
,,123,GerionLannister,939,12,,34,69,92,,42,64,49,,38,60,70,,150,,320,114,,
,,124,Obinger_Alphons,938,15,320,59,69,69,92,49,56,102,90,105,80,75,60,10,,74,,,
,,125,Kimmo,932,18,115,125,85,85,85,64,102,100,55,60,60,110,70,45,40,73,28,210,
,,126,maunzzz,914,17,320,52,59,92,80,56,76,55,35,39,60,70,70,90,40,28,116,,
,,127,roverandom,896,18,170,59,59,47,59,76,64,76,76,100,130,105,95,25,10,58,140,80,
,,128,Gyphon,894,16,170,43,34,52,59,56,76,49,56,160,95,80,70,10,,97,146,,
,#N/A,129,Zegs,891,10,,46,69,165,140,,,,,52,95,110,70,90,,,152,,
,,130,Dvale112,888,11,170,92,105,80,47,76,115,115,90,,,,,,10,,,121,
,,131,Vangelisb,887,15,210,52,52,43,46,102,115,115,100,55,95,80,70,,,25,,45,
,,132,wittr,880,16,210,52,47,59,40,55,42,56,49,100,90,75,50,25,,235,,50,
,,133,belowfox,879,16,170,92,80,59,69,56,76,102,90,100,130,115,80,25,,30,,63,
,,134,NFGM,876,15,,27,46,52,92,56,64,102,185,48,82,105,110,25,,54,136,,
,,135,speedstone,872,11,170,,,,,100,55,56,100,100,90,80,60,150,,82,,,
,,136,WanderingWolf,871,11,210,75,69,69,92,100,102,90,102,,,,,45,100,,,,
,,137,vaLfizzL,870,10,130,69,59,,,55,,,,110,170,,,25,10,,77,200,
,,137,maxolino,870,12,210,85,80,69,92,30,30,64,102,,,,,,40,,37,168,
,,139,Sunmaster14_LV,858,18,140,105,75,43,46,55,35,30,56,100,95,100,75,90,100,24,128,90,
,#N/A,140,weisswurst,857,7,130,200,130,,,76,76,,,130,115,,,,,,,,
,,141,PlanarFreak,842,8,170,95,85,95,105,,,,,,,,,25,,83,184,,
,,141,MindKillazz,842,13,115,,,,,64,102,100,55,60,80,130,105,45,,88,122,74,
,#N/A,143,Doughnut,837,4,320,,,,165,,,102,250,,,,,,,,,,
,,144,nerficya,836,15,320,47,69,40,34,76,90,55,56,45,52,50,45,45,,,118,,
,,145,gomensky,834,7,,105,105,95,,,,,,,,,,90,100,49,290,,
,,146,Garri,829,9,140,46,52,47,52,42,27,,,,,,,150,300,,,,
,,147,Dethar,828,7,390,,,46,92,,30,56,64,,,,,150,,,,,
