,,place,player,points,#,wrld,ic_30,ic_31,ic_32,ic_33,im_27,im_28,im_29,im_30,rl_05,rl_06,rl_07,rl_08,wmbl,aus,sl,ml,eif,qd
,,632,Nevic,188,4,80,,,,,,,,,48,35,,,25,,,,,
,,633,devilchn,187,2,140,47,,,,,,,,,,,,,,,,,
,,633,czaurel,187,7,20,23,20,,,12,35,42,35,,,,,,,,,,
,,633,JiriHosek,187,5,75,,,34,46,,,12,20,,,,,,,,,,
,,636,AsKier,184,5,80,,,,,27,20,27,30,,,,,,,,,,
,,636,Rumbleman,184,2,170,,,,,,,,,,,,,,,,,14,
,,636,IrenaX,184,14,55,20,1,3,22,5,6,12,5,2,22,19,19,,,,,15,
,,636,kngoswg,184,5,80,,,,,20,27,30,27,,,,,,,,,,
,,636,Djinges,184,3,,,,,,,,30,102,,,,52,,,,,,
,,641,LordHomeOffice,183,6,,47,40,26,26,,,,30,,,,,,,14,,,
,,642,TAOxEagle,182,3,170,,,,,,,6,6,,,,,,,,,,
,,642,Quasar_Enderas,182,5,,,,,20,,,30,56,,,32,44,,,,,,
,,644,Dvd75,181,8,,22,30,20,20,12,27,20,30,,,,,,,,,,
,,644,deleted_user_8840806,181,3,,,46,,,,,,,,45,,,90,,,,,
,,646,aaaaa,180,4,,47,47,40,46,,,,,,,,,,,,,,
,,646,Bigwellow,180,2,170,,,,,,,,,,,,,,10,,,,
,,646,CuJ,180,11,55,6,20,1,22,,,5,6,19,20,19,19,,,,,,
,,649,icepick_mn,178,6,55,,,,,,,,,44,27,17,25,10,,,,,
,,649,DieKrake89,178,5,,,,34,34,,,30,42,,,,38,,,,,,
,,651,Everex,177,12,55,6,22,22,22,6,6,6,5,17,8,25,,,,,,,
,,652,Dimitris,175,14,20,6,20,15,20,12,27,5,5,19,22,28,19,,10,,,,
,,652,ClaridadNocturna,175,8,,22,26,22,22,,,,,20,22,19,22,,,,,,
,,652,ksfga,175,5,65,,,30,23,,30,27,,,,,,,,,,,
,,652,ThePerceptiveGamer,175,7,,,,,,,,6,30,25,20,22,32,,40,,,,
,,652,pavelceska,175,6,,,,,20,,,30,42,,19,32,32,,,,,,
,,657,jSan,174,3,75,69,,,,,,,30,,,,,,,,,,
,,658,kabel2,173,10,45,23,,,,6,5,5,5,25,19,25,25,,,,,,
,,658,FlyGon,173,6,,,20,34,34,,,,,,22,28,35,,,,,,
,,660,Adrianobf,172,5,75,23,20,20,34,,,,,,,,,,,,,,
,,661,Cromlech,171,7,45,,,23,22,,,,,20,25,17,19,,,,,,
,,661,Gabilou,171,5,55,,,,,,,,,20,32,32,32,,,,,,
,,661,MoreHat,171,2,95,,,,,,,,,,,,,,,76,,,
,,664,Wolar,170,2,130,40,,,,,,,,,,,,,,,,,
,,664,Octavian,170,1,170,,,,,,,,,,,,,,,,,,
,,664,Lothar,170,1,170,,,,,,,,,,,,,,,,,,
,,664,JSauve,170,1,170,,,,,,,,,,,,,,,,,,
,,664,Andiii,170,1,170,,,,,,,,,,,,,,,,,,
,,664,milanmar,170,1,170,,,,,,,,,,,,,,,,,,
,,664,mezerrrrr,170,1,170,,,,,,,,,,,,,,,,,,
,,664,LJSHUEN,170,1,170,,,,,,,,,,,,,,,,,,
,,664,Technicolourism,170,1,170,,,,,,,,,,,,,,,,,,
,,664,booyakasha,170,1,170,,,,,,,,,,,,,,,,,,
,,664,Icallhimtest,170,1,,,,,,,,,,,,,170,,,,,,
,,675,Andreyko2003,169,6,65,,,,,,,,,27,22,25,20,10,,,,,
,,675,joniboni,169,4,,,,,,,,,,32,32,60,45,,,,,,
,,677,Die12,168,4,75,43,30,,,20,,,,,,,,,,,,,
,,678,RJonkers,167,7,65,3,,,,6,,,,30,19,25,19,,,,,,
,,678,jmcj,167,9,,,10,34,40,,6,12,12,,17,25,17,,,,,,
,,680,methak,166,4,95,,,,,27,,,,,,,,,10,,,34,
,,680,mooscolly,166,10,20,,,,,5,12,27,5,20,28,30,19,,10,,,,
,,680,PacificKonradin,166,2,,,,,,,,,,150,,,,,,16,,,
,,683,Daru,165,6,,26,30,46,,,20,,,15,28,,,,,,,,
,,683,Sapiocek,165,2,75,,,,,,,,,,,,,90,,,,,
,,685,aoe2champ,164,10,20,23,20,15,22,6,6,12,20,,,,,,,,,32,
,,685,Pudroe,164,4,,,,,,,,,,,32,60,45,,,27,,,
,,687,errliu,163,4,,20,46,,,42,55,,,,,,,,,,,,
,,688,AnBeLi3v4bLe,162,14,20,20,3,1,1,12,27,6,5,4,22,19,20,,,,,22,
,,689,Dumnac,161,9,,26,22,20,6,30,30,6,12,,,,,,,,,15,
,,690,DBaker17,160,9,65,1,10,20,3,,,,,6,19,17,20,,,,,,
,,690,Ruudi,160,2,140,,20,,,,,,,,,,,,,,,,
,,692,Peaceminusone,159,7,,,27,26,20,30,30,6,20,,,,,,,,,,
,,693,Dunketelin,158,9,20,22,20,6,20,,,,,22,20,17,17,,,,,,
,,693,Vortex1612,158,4,20,,,,20,,,,,,,48,70,,,,,,
,,695,Drizzt84,156,5,80,23,20,10,23,,,,,,,,,,,,,,
,,695,Kruch,156,12,45,6,22,20,3,,,5,5,4,17,19,17,,10,,,,
,,695,creamyalfredo,156,5,,20,23,30,,,,,,,38,45,,,,,,,
,,695,Larsusvonundzu,156,10,,22,23,26,20,,,6,20,11,,,6,,10,,,24,
,,699,ShPini,155,4,,,,,,,,30,49,,,32,44,,,,,,
,,700,KTMatthews,152,9,45,,,,,6,12,6,5,19,22,22,20,,,,,,
,,700,Tasso,152,7,,10,26,30,46,12,,,20,,,,8,,,,,,
,,702,sbaro,151,6,75,22,20,,,20,,,,,,,,,10,,,4,
,,702,Izio,151,9,20,20,6,20,3,,,,,20,25,20,20,,,,,,
,,704,lfrantisek,150,2,140,,,,,,,,,,,,,10,,,,,
,,704,GangwonTeacher,150,2,140,,,,,,,,,,,,,,10,,,,
,,704,Urist,150,6,75,,,,,,20,27,6,,,,,,10,,12,,
,,704,Icarium,150,14,55,3,1,6,20,6,5,5,5,17,4,19,17,,10,,,,
,,704,Darek79,150,4,80,,6,34,30,,,,,,,,,,,,,,
,,704,Bad_Horse,150,1,,,,,,,,,,,,,150,,,,,,
,,704,SwaulgustusCaesar,150,1,,,,,,,,,,,,,150,,,,,,
,,711,KorXo,148,6,20,,,,,30,27,5,,38,28,,,,,,,,
,,711,Evron,148,5,,,,34,,30,,,,,,,,,40,,15,29,
,,711,Samantho,148,12,55,1,3,20,1,5,5,5,5,22,17,19,,,,,,,
,,711,WraightCZ,148,13,20,20,6,20,1,6,5,5,12,20,17,17,22,,,,,,
,,715,Jmstoic,147,8,,1,10,30,20,,,,,,30,32,19,,,,5,,
,,716,Igelkotten,146,5,55,,,,,,,,,27,20,22,22,,,,,,
,,717,happyboykt,145,3,75,30,,,,,,,,,,,,,40,,,,
,,717,buttoxide,145,3,,46,52,47,,,,,,,,,,,,,,,
,,717,putih,145,3,,,,,,,,,,,38,52,55,,,,,,
,,720,Frygian,144,4,75,26,23,20,,,,,,,,,,,,,,,
,,720,joecackler,144,5,,,,,,,,,,25,32,30,38,,,,19,,
,,720,Maximus1992,144,3,,,,,,,,30,76,,,,38,,,,,,
,,723,Nicks,142,4,,46,40,26,30,,,,,,,,,,,,,,
,,723,BGTigger,142,5,55,,,,,,,,,25,23,20,19,,,,,,
,,723,sms18004,142,4,,,,,,,,,,28,32,38,44,,,,,,
,,723,Silvester,142,3,,,,,,,,,,,,38,39,,,,65,,
,,727,MoxNox,141,5,,,,30,34,,30,27,20,,,,,,,,,,
,,727,Gubbstyv,141,4,,,,,,,,30,27,,,32,52,,,,,,
,,729,redyredy123,140,1,140,,,,,,,,,,,,,,,,,,
,,729,Bulten,140,1,140,,,,,,,,,,,,,,,,,,
,,729,M-L-E,140,1,140,,,,,,,,,,,,,,,,,,
,,729,Musan,140,1,140,,,,,,,,,,,,,,,,,,
,,729,fugg,140,2,130,,,,,,,,,,,,,,10,,,,
,,729,mushan,140,2,130,,,,,,,,,,,,,,10,,,,
,,729,Prautim,140,1,140,,,,,,,,,,,,,,,,,,
,,729,PyBel,140,1,140,,,,,,,,,,,,,,,,,,
,,729,vivimaster,140,1,140,,,,,,,,,,,,,,,,,,
,,729,AaronGreen,140,1,140,,,,,,,,,,,,,,,,,,
,,729,Giledon,140,1,140,,,,,,,,,,,,,,,,,,
,,729,NateH,140,1,140,,,,,,,,,,,,,,,,,,
,,729,K1N9,140,1,140,,,,,,,,,,,,,,,,,,
,,729,DVDripXvid,140,1,140,,,,,,,,,,,,,,,,,,
,,729,DonutRapist,140,1,140,,,,,,,,,,,,,,,,,,
,,729,cs2376jr,140,1,140,,,,,,,,,,,,,,,,,,
,,729,lukejones82,140,1,140,,,,,,,,,,,,,,,,,,
,,729,LaDfBC,140,1,140,,,,,,,,,,,,,,,,,,
,,747,Melon6688,139,7,45,10,26,23,22,5,,,,,,,,,,,,8,
,,748,Ragnard,138,5,75,10,26,22,,5,,,,,,,,,,,,,
,,748,Slender,138,2,,,,46,92,,,,,,,,,,,,,,
,,750,kalev,137,7,,23,22,,,27,20,,,20,19,,,,,,,6,
,,750,Franzy,137,5,55,,,,,,,,,20,17,25,20,,,,,,
,,752,dmhalford,136,5,45,20,15,30,26,,,,,,,,,,,,,,
,,752,sirlenon,136,5,55,,,,,,,,,20,19,17,25,,,,,,
,,752,Olunia,136,7,,,,20,23,,6,20,27,,,20,20,,,,,,
,,755,lcj,135,2,,,,,,,,,,75,,60,,,,,,,
,,755,JS619,135,14,45,3,1,10,22,6,5,5,5,2,2,17,20,,10,,,,
,,755,pote,135,3,,,,,,,30,56,49,,,,,,,,,,
,,758,peppe76,134,5,65,23,20,6,20,,,,,,,,,,,,,,
,,759,SnowGolem,133,9,45,3,10,20,,6,5,5,,22,20,,,,,,,,
,,760,Nepgear,132,3,,,,,,,,,,52,70,,,10,,,,,
,,760,Hashlerka,132,5,75,,,,,6,12,27,12,,,,,,,,,,
,,760,Krex,132,6,,,,20,26,,,12,30,,,22,22,,,,,,
,,763,MikeyLear,130,1,130,,,,,,,,,,,,,,,,,,
,,763,Helen-the-great,130,3,75,,,,,,,,,45,,,,10,,,,,
,,763,JakubZGandalfova,130,7,55,,,,,,5,5,,11,20,20,,,,,,14,
,,763,beny85,130,5,80,,,,20,,,5,5,,,20,,,,,,,
,,763,t0mk0t,130,1,130,,,,,,,,,,,,,,,,,,
,,763,SnailZane,130,1,130,,,,,,,,,,,,,,,,,,
,,763,Berfner,130,1,130,,,,,,,,,,,,,,,,,,
,,763,Naleenae,130,1,130,,,,,,,,,,,,,,,,,,
,,763,HealingAura,130,1,130,,,,,,,,,,,,,,,,,,
,,763,Elpiereo,130,1,130,,,,,,,,,,,,,,,,,,
,,763,ugglor,130,1,130,,,,,,,,,,,,,,,,,,
,,763,sillysheep,130,1,130,,,,,,,,,,,,,,,,,,
,,763,Palace,130,1,130,,,,,,,,,,,,,,,,,,
,,763,Linsage,130,1,130,,,,,,,,,,,,,,,,,,
,,763,ycl,130,1,130,,,,,,,,,,,,,,,,,,
,,763,GBH_Grzegorz,130,1,130,,,,,,,,,,,,,,,,,,
,,763,DayWalker1337,130,1,130,,,,,,,,,,,,,,,,,,
,,763,Kharny,130,1,130,,,,,,,,,,,,,,,,,,
,,763,SvenSvift,130,1,130,,,,,,,,,,,,,,,,,,
,,763,Antigua,130,1,130,,,,,,,,,,,,,,,,,,
,,763,Limubai,130,1,130,,,,,,,,,,,,,,,,,,
,,763,Taeybae,130,1,130,,,,,,,,,,,,,,,,,,
,,763,Shergar,130,1,130,,,,,,,,,,,,,,,,,,
,,763,santhosh163,130,2,95,,,,,,,,35,,,,,,,,,,
,,787,Ti-Guy_Latour,129,4,,34,26,23,46,,,,,,,,,,,,,,
,,787,loMucho,129,4,,,,27,40,,,20,42,,,,,,,,,,
,,789,madrabbit,128,2,,59,69,,,,,,,,,,,,,,,,
,,789,northlynx,128,3,,,,27,69,,,,,,,,32,,,,,,
,,791,Masterchief,127,2,95,,,,,,,,,32,,,,,,,,,
,,791,Limdul1988,127,6,20,23,23,26,23,12,,,,,,,,,,,,,
,,791,Bonneville22,127,6,45,,,,,,,,,17,8,25,22,,10,,,,
,,794,kuzmich,125,3,75,20,,,,,,,,30,,,,,,,,,
,,794,Lodon,125,3,,,,,,,,,,,20,,,,100,,,5,
,,794,vyvy,125,9,55,20,6,20,6,6,5,6,6,,,,,,,,,,
,,794,stefano-prof,125,4,,30,26,23,46,,,,,,,,,,,,,,
,,794,bobaboba,125,2,,,,,95,,,,30,,,,,,,,,,
,,799,mindphaser,123,6,45,20,6,,,,,,,22,20,,,,,,,10,
,,800,LadyValaria,122,8,55,,,,,5,6,5,,17,2,19,,,,,,13,
,,800,Hardco,122,2,95,,,,,,,,,,,,,,,,,27,
,,800,Merclaw,122,5,75,,,,,,,,,1,6,20,20,,,,,,
,,803,DonRaphon,121,5,20,34,22,,,,,,,35,,,,10,,,,,
,,803,Nopeasuoli,121,4,55,,,,,,,,,21,20,25,,,,,,,
,,803,Rob51,121,8,,10,20,3,3,,,,,20,20,25,20,,,,,,
,,803,Brickmarck,121,3,65,,,30,26,,,,,,,,,,,,,,
,,803,Hotti180,121,3,,,,,15,,,30,76,,,,,,,,,,
,,808,SullyWully,120,5,45,,,,,,,,,19,19,17,20,,,,,,
,,809,pj79,118,5,55,,,,,,,,,17,6,20,20,,,,,,
,,810,Bonobours,117,7,,,,,,6,12,,,25,23,19,,,10,,,22,
,,810,Jaja,117,5,45,,,,,6,6,30,30,,,,,,,,,,
,,812,EmiratesOfHacan,116,4,,30,34,30,22,,,,,,,,,,,,,,
,,812,Ratsia,116,2,75,,,,,,,,,,,,,,,,,41,
,,812,Tonino,116,8,45,20,,,20,5,6,5,5,,,,,,10,,,,
,,815,Numsy71,115,1,115,,,,,,,,,,,,,,,,,,
,,815,riccccc,115,1,115,,,,,,,,,,,,,,,,,,
,,815,BemuthBambai,115,1,115,,,,,,,,,,,,,,,,,,
,,815,Robster,115,1,115,,,,,,,,,,,,,,,,,,
,,815,keizerCarel,115,1,115,,,,,,,,,,,,,,,,,,
,,815,Asbestos,115,1,115,,,,,,,,,,,,,,,,,,
,,815,maumastoks,115,1,115,,,,,,,,,,,,,,,,,,
,,815,NoswordKnight,115,1,115,,,,,,,,,,,,,,,,,,
,,815,Borman,115,1,115,,,,,,,,,,,,,,,,,,
,,815,Haubentaucherwelpe,115,1,115,,,,,,,,,,,,,,,,,,
,,815,Ilidur,115,1,115,,,,,,,,,,,,,,,,,,
,,815,HomerJr,115,1,115,,,,,,,,,,,,,,,,,,
,,815,_sleepwalker,115,1,115,,,,,,,,,,,,,,,,,,
,,815,Naval,115,1,115,,,,,,,,,,,,,,,,,,
,,815,Biancus,115,1,115,,,,,,,,,,,,,,,,,,
,,815,pepikos,115,1,115,,,,,,,,,,,,,,,,,,
,,815,GamesClaw,115,3,65,,,,,,,,,25,25,,,,,,,,
,,815,justinkejs,115,1,115,,,,,,,,,,,,,,,,,,
,,815,Mensha,115,1,115,,,,,,,,,,,,,,,,,,
,,815,JamesH,115,1,115,,,,,,,,,,,,,,,,,,
,,815,J-Dawg,115,1,115,,,,,,,,,,,,,,,,,,
,,815,Z-man,115,1,115,,,,,,,,,,,,,,,,,,
,,815,kingslayer90,115,1,115,,,,,,,,,,,,,,,,,,
,,815,Scipio1126,115,1,115,,,,,,,,,,,,,,,,,,
,,815,Damien.X,115,1,115,,,,,,,,,,,,,,,,,,
,,815,Leeech,115,1,115,,,,,,,,,,,,,,,,,,
,,815,Luludumm,115,1,115,,,,,,,,,,,,,,,,,,
,,815,Rzheng4,115,1,115,,,,,,,,,,,,,,,,,,
,,815,Bull3,115,1,115,,,,,,,,,,,,,,,,,,
,,815,Redgood,115,1,115,,,,,,,,,,,,,,,,,,
,,815,StarLakeGuy,115,1,115,,,,,,,,,,,,,,,,,,
,,815,Mrzout,115,1,115,,,,,,,,,,,,,,,,,,
,,815,extrmn8r,115,1,115,,,,,,,,,,,,,,,,,,
,,815,Rackare,115,1,115,,,,,,,,,,,,,,,,,,
,,815,mugumagu,115,1,115,,,,,,,,,,,,,,,,,,
,,850,King.I.T.North,114,3,,,,,,30,,,,39,,,,45,,,,,
,,850,Revan,114,4,55,,,,,,12,27,20,,,,,,,,,,
,,852,Seppel,112,4,,,,,,35,35,30,12,,,,,,,,,,
,,852,McNeil,112,3,65,,,,,12,35,,,,,,,,,,,,
,,854,smollov,111,3,,,,,,,,,,70,,,,25,,,16,,
,,854,MartinCZE,111,4,65,6,20,20,,,,,,,,,,,,,,,
,,854,Ivan04,111,4,65,1,,,23,,,,,,,22,,,,,,,
,,857,Alistxi,110,2,20,,,,,,,,,,,,,90,,,,,
,,858,Sopelek,109,5,45,,,,,,,,,17,11,17,19,,,,,,
,,858,gaitimes,109,2,,,,,,,,,,,,,,,40,69,,,
,,860,Minde,108,3,,46,40,22,,,,,,,,,,,,,,,
,,860,nicg,108,2,95,,,,,,,,,,,,,,,13,,,
,,862,gutibudoka,107,5,45,,,,,,,,,6,19,20,17,,,,,,
,,862,VladBenez,107,8,45,,,,,5,5,5,6,6,25,,,,10,,,,
,,862,Wombelbat,107,6,,,10,20,22,5,,20,30,,,,,,,,,,
,,865,Frabac,106,11,45,1,1,3,20,5,5,6,5,17,2,,,,,,,,
,,865,johnboy,106,5,20,,,,,,,,,28,19,22,17,,,,,,
,,867,Mammaklaskern,105,5,,,15,20,26,,,,,,,25,19,,,,,,
,,868,Francis88,104,4,,30,20,,,35,,,,19,,,,,,,,,
,,869,aloci,103,3,,,,,,35,,,,28,,,,,40,,,,
,,870,minzent,102,4,80,,,,,,12,5,5,,,,,,,,,,
,,871,Archangel,101,6,,,,,,,,12,12,11,25,19,22,,,,,,
,,872,Nitrosaurus24,100,5,20,,,,,,,,,21,20,19,20,,,,,,
,,872,Sawell,100,3,,,,,,,,20,42,,,,38,,,,,,
,,874,bambi4,99,4,45,26,22,,,6,,,,,,,,,,,,,
,,874,vratia,99,9,45,20,1,3,10,5,6,5,5,,,,,,,,,,
,,874,OodOok,99,5,,,15,23,22,,,,,,,19,20,,,,,,
,,874,Banderjax,99,3,,,27,26,46,,,,,,,,,,,,,,
,,878,Rebel_Rebs,98,8,,,,,,5,5,6,5,22,19,19,17,,,,,,
,,878,Hampsink,98,5,55,,,,,,,,,2,4,17,20,,,,,,
,,878,Igordol,98,5,20,,1,,,,20,30,27,,,,,,,,,,
,,878,Saph4ir,98,9,,3,1,3,22,,,,,4,19,20,17,,10,,,,
,,878,Noa1,98,2,,,,,,,,,,,,38,60,,,,,,
,,878,sTeVej,98,2,,,,,,,,,,,,38,60,,,,,,
,,878,xiaoduan,98,2,,,,,,,,,,,,38,60,,,,,,
,,885,Panxo,97,5,20,,,,,5,12,30,30,,,,,,,,,,
,,886,daices,96,3,75,1,,,,,,,20,,,,,,,,,,
,,886,Vinny6060,96,4,,30,20,23,23,,,,,,,,,,,,,,
,,886,Redda,96,9,,,,,,5,5,6,6,19,17,17,17,,,,,9,
,,889,BradSwan,95,2,,46,,,,49,,,,,,,,,,,,,
,,889,BureRF,95,1,95,,,,,,,,,,,,,,,,,,
,,889,Slavica,95,1,95,,,,,,,,,,,,,,,,,,
,,889,Serena,95,1,95,,,,,,,,,,,,,,,,,,
,,889,barda,95,2,75,20,,,,,,,,,,,,,,,,,
,,889,sorpy,95,1,95,,,,,,,,,,,,,,,,,,
,,889,CoxCz,95,1,95,,,,,,,,,,,,,,,,,,
,,889,Royalhawk,95,1,95,,,,,,,,,,,,,,,,,,
,,889,Voidray,95,1,95,,,,,,,,,,,,,,,,,,
,,889,CardinalBadger,95,1,95,,,,,,,,,,,,,,,,,,
,,889,Pika07,95,1,95,,,,,,,,,,,,,,,,,,
,,889,FunkcniPC,95,1,95,,,,,,,,,,,,,,,,,,
,,889,Cyrus_j2s,95,1,95,,,,,,,,,,,,,,,,,,
,,889,Spriteule,95,1,95,,,,,,,,,,,,,,,,,,
,,889,Gurhuntar,95,1,95,,,,,,,,,,,,,,,,,,
,,889,uday,95,1,95,,,,,,,,,,,,,,,,,,
,,889,LeonardoDaVinci016,95,1,95,,,,,,,,,,,,,,,,,,
,,889,gego,95,1,95,,,,,,,,,,,,,,,,,,
,,889,Pants101,95,1,95,,,,,,,,,,,,,,,,,,
,,889,baralex,95,1,95,,,,,,,,,,,,,,,,,,
,,889,Makt,95,1,95,,,,,,,,,,,,,,,,,,
,,889,Serenicus,95,1,95,,,,,,,,,,,,,,,,,,
,,889,Skatanic,95,1,95,,,,,,,,,,,,,,,,,,
,,889,HotShot53,95,1,95,,,,,,,,,,,,,,,,,,
,,889,srapi,95,1,95,,,,,,,,,,,,,,,,,,
,,889,exender,95,1,95,,,,,,,,,,,,,,,,,,
,,889,figs,95,1,95,,,,,,,,,,,,,,,,,,
,,889,SteffenViisdom,95,1,95,,,,,,,,,,,,,,,,,,
,,889,Minik,95,1,95,,,,,,,,,,,,,,,,,,
,,889,Brett13,95,1,95,,,,,,,,,,,,,,,,,,
,,889,Ranior,95,1,95,,,,,,,,,,,,,,,,,,
,,889,LudoH,95,1,95,,,,,,,,,,,,,,,,,,
,,889,Kayser,95,1,95,,,,,,,,,,,,,,,,,,
,,889,EvgenyRazinkov,95,1,95,,,,,,,,,,,,,,,,,,
,,889,Sebix,95,1,95,,,,,,,,,,,,,,,,,,
,,889,CountFab,95,1,95,,,,,,,,,,,,,,,,,,
,,889,LordBC,95,1,95,,,,,,,,,,,,,,,,,,
,,889,JakPut,95,1,95,,,,,,,,,,,,,,,,,,
,,927,Peperinni,94,2,80,,,,,,,,,,,,,,,,,14,
,,927,DrWhom,94,3,,,,,,,,,,,28,39,27,,,,,,
,,929,Jurri,93,4,,,,,,20,,,,15,28,30,,,,,,,
,,929,kopu,93,4,,27,34,,,20,,,12,,,,,,,,,,
,,929,Amitke,93,2,,,,,,,,,,,,48,45,,,,,,
,,929,rrobby,93,4,,,,26,20,,,20,27,,,,,,,,,,
,,933,FrancoisFerdinand,91,4,,34,20,15,22,,,,,,,,,,,,,,
,,934,qige,90,2,80,,,,,,,,,,,,,,10,,,,
,,934,MrTriangle,90,1,,,,,,,,,,,,,,90,,,,,
,,934,FireBones,90,3,,,,,,,,,30,,,32,28,,,,,,
,,937,broskiumenyiora,89,2,80,,,,,,,,,,,,,,,,9,,
,,937,Moskbnea,89,10,20,,,,,6,5,5,5,1,1,19,19,,10,,,,
,,939,Martin2021,88,2,65,23,,,,,,,,,,,,,,,,,
,,940,botenmaru82,87,2,65,,,,,,,,,22,,,,,,,,,
,,940,rustylantern,87,3,,,,,15,,,30,42,,,,,,,,,,
,,940,snakilan,87,2,,,,,27,,,,,,,,60,,,,,,
,,943,Torneedo,86,2,80,,,,,,,,,,,,,,,,,6,
,,943,MattM,86,3,20,,20,46,,,,,,,,,,,,,,,
,,943,Kartek,86,4,55,,,,6,,,5,20,,,,,,,,,,
,,946,demainlesdauphins,85,2,75,,,,,,,,,,,,,,10,,,,
,,946,fli_pao,85,2,75,,,,,,,,,,,,,,10,,,,
,,946,gulper,85,2,65,,,,20,,,,,,,,,,,,,,
,,946,chen.,85,2,75,,,,,,,,,,,,,,10,,,,
,,946,Horsard,85,2,75,,,,,,,,,,,,,,10,,,,
,,946,Xxyu,85,2,75,,,,,,,,,,,,,,10,,,,
,,946,StefanGreatFirst,85,4,,,15,20,,20,30,,,,,,,,,,,,
,,946,Happykitten,85,3,45,,,20,20,,,,,,,,,,,,,,
,,946,SteelKitten,85,2,,,,,,,,30,55,,,,,,,,,,
,,955,Geegs,84,4,45,,,,,27,6,6,,,,,,,,,,,
,,955,Gympanse,84,5,,,,10,22,,,20,30,,,,2,,,,,,
,,957,Tandeta,83,2,,,,,,,,,,44,39,,,,,,,,
,,957,W1TCH0R,83,2,,,,,27,,,,56,,,,,,,,,,
,,959,DeZet,82,3,55,22,,,,5,,,,,,,,,,,,,
,,959,Jived,82,2,65,,,,,,,,,17,,,,,,,,,
,,959,yezebel,82,3,,,,,,20,35,27,,,,,,,,,,,
,,959,Sophia,82,3,,,,,10,,,42,30,,,,,,,,,,
,,959,Faeyon,82,3,,,,,20,,,20,42,,,,,,,,,,
,,959,sergilicious,82,2,,,,,,,,,30,,,,52,,,,,,
,,965,ChrisTher,80,1,,80,,,,,,,,,,,,,,,,,
,,965,Iosefvs,80,1,80,,,,,,,,,,,,,,,,,,
,,965,Tim248,80,2,,,,,,,,,,32,,,,,,,,48,
,,965,The_Law,80,1,80,,,,,,,,,,,,,,,,,,
,,965,Tmer,80,1,80,,,,,,,,,,,,,,,,,,
,,965,Enas,80,1,80,,,,,,,,,,,,,,,,,,
,,965,Rockoccodrillo,80,1,80,,,,,,,,,,,,,,,,,,
,,965,Rajasands,80,1,80,,,,,,,,,,,,,,,,,,
,,965,shiro0405,80,1,80,,,,,,,,,,,,,,,,,,
,,965,ZRoronoaZ,80,1,80,,,,,,,,,,,,,,,,,,
,,965,Metz63,80,1,80,,,,,,,,,,,,,,,,,,
,,965,Mikeski,80,1,80,,,,,,,,,,,,,,,,,,
,,965,Gerti,80,1,80,,,,,,,,,,,,,,,,,,
,,965,Medicus,80,1,80,,,,,,,,,,,,,,,,,,
,,965,yhw,80,1,80,,,,,,,,,,,,,,,,,,
,,965,Valsim,80,1,80,,,,,,,,,,,,,,,,,,
,,965,Metil,80,1,80,,,,,,,,,,,,,,,,,,
,,965,Vyzvejkanec,80,1,80,,,,,,,,,,,,,,,,,,
,,965,CrAzian18,80,1,80,,,,,,,,,,,,,,,,,,
,,965,pandaczar,80,1,80,,,,,,,,,,,,,,,,,,
,,965,2da6,80,1,80,,,,,,,,,,,,,,,,,,
,,965,KYO,80,1,80,,,,,,,,,,,,,,,,,,
,,965,UNICOKRATOS,80,1,80,,,,,,,,,,,,,,,,,,
,,965,TopDog,80,1,80,,,,,,,,,,,,,,,,,,
,,965,Otto_von_Bismarck,80,1,80,,,,,,,,,,,,,,,,,,
,,965,boonio88,80,1,80,,,,,,,,,,,,,,,,,,
,,965,Entername,80,1,80,,,,,,,,,,,,,,,,,,
,,965,ZesPak,80,1,80,,,,,,,,,,,,,,,,,,
,,965,flo3,80,1,80,,,,,,,,,,,,,,,,,,
,,965,razorsedger,80,1,80,,,,,,,,,,,,,,,,,,
,,965,hhahanext,80,1,80,,,,,,,,,,,,,,,,,,
,,965,Nanu,80,1,80,,,,,,,,,,,,,,,,,,
,,965,dburstin,80,1,80,,,,,,,,,,,,,,,,,,
,,965,Garhett,80,1,80,,,,,,,,,,,,,,,,,,
,,965,seyedempire,80,1,80,,,,,,,,,,,,,,,,,,
,,965,DanReyLop,80,1,80,,,,,,,,,,,,,,,,,,
,,965,fridaK,80,1,80,,,,,,,,,,,,,,,,,,
,,965,runningnemo,80,1,80,,,,,,,,,,,,,,,,,,
,,965,flacoforro,80,1,80,,,,,,,,,,,,,,,,,,
,,965,clickk,80,1,80,,,,,,,,,,,,,,,,,,
,,965,JohnDavie,80,1,80,,,,,,,,,,,,,,,,,,
,,965,Vali1590,80,1,80,,,,,,,,,,,,,,,,,,
,,965,Alebv,80,1,80,,,,,,,,,,,,,,,,,,
,,965,ginociccio,80,1,80,,,,,,,,,,,,,,,,,,
,,965,N0rBeer,80,1,80,,,,,,,,,,,,,,,,,,
,,965,JBloodski,80,1,80,,,,,,,,,,,,,,,,,,
,,965,Rhand,80,1,80,,,,,,,,,,,,,,,,,,
,,965,donperizoma,80,1,80,,,,,,,,,,,,,,,,,,
,,965,LMH,80,1,80,,,,,,,,,,,,,,,,,,
,,965,Mikael.S,80,1,80,,,,,,,,,,,,,,,,,,
,,965,nchenche,80,1,80,,,,,,,,,,,,,,,,,,
