,,place,player,points,#,wrld,ic_32,ic_33,,,im_29,im_30,,,rl_07,rl_08,,,wmbl,aus,surv,ml,sl,qd
,,76,Angor,960,5,260,300,350,,,,,,,,,,,,10,40,,,
,#N/A,77,MrBiz,939,10,260,92,85,,,,,,,80,110,,,25,180,80,129,168,
,,78,Shagrat,925,11,260,95,85,,,64,55,,,110,90,,,,,120,123,217,95
,,79,ben0728,902,7,140,,,,,,,,,190,170,,,350,40,10,,12,
,,80,IdkIdcIdgaf,870,5,260,,,,,,,,,,,,,150,40,410,,,10
,#N/A,81,DarKStyle,866,8,260,,27,,,30,76,,,,100,,,,100,300,21,,
,,82,DrSniken,860,3,260,,,,,,,,,250,,,,350,,,,,
,,83,Hisbossness,857,8,260,92,85,,,140,90,,,150,125,,,,,,,83,
,,84,jingjing123,852,11,210,165,140,,,102,140,,,95,80,,,10,,80,57,31,
,,85,a440,840,3,470,,,,,,,,,,,,,,180,190,,,
,#N/A,86,WhateverParsley,836,7,260,85,165,,,76,55,,,170,,,,,,80,,,
,,87,Fourierrr,831,7,210,170,,,,115,,,,,,,,,40,,137,144,55
,,88,NFGM,813,12,210,52,92,,,102,185,,,105,110,,,25,40,80,101,50,
,,89,Kay,810,12,210,130,125,,,115,100,,,100,130,,,45,10,10,,33,50
,#N/A,90,daggsea,796,8,115,69,52,,,,,,,120,200,,,240,10,10,,,
,#N/A,91,Beebs,792,9,260,92,80,,,,,,,60,88,,,10,,80,164,108,
,#N/A,92,Zegs,782,9,95,165,140,,,,,,,110,70,,,90,10,40,182,,
,,93,Unterjochen,777,12,210,47,43,,,55,56,,,125,150,,,45,100,80,111,81,
,,94,MidnightFox,776,10,115,43,46,,,55,56,,,160,150,,,240,40,10,,,
,,95,Amorin,770,8,140,,,,,102,185,,,,,,,45,180,40,118,27,
,,96,eggmancs,762,7,170,,,,,,,,,150,115,,,150,100,40,,77,
,,97,KarlThomas,745,5,,,,,,140,185,,,,,,,240,100,80,,,
,,98,maunzzz,736,11,260,92,80,,,55,35,,,70,70,,,90,40,120,94,,
,,99,PlanarFreak,735,8,130,95,105,,,,,,,,,,,25,180,80,145,70,
,,100,PhiTrigger,730,9,115,130,95,,,64,55,,,,,,,90,180,120,,62,
