,,place,player,points,#,wrld,ic_24,ic_25,ic_26,ic_27,im_21,im_22,im_23,im_24,rl_01,rl_02,,snail,wmbl,aus,eif,ml,qd
,,660,Traumatan,180,1,180,,,,,,,,,,,,,,,,,
,,676,bambi4,179,7,90,,,,,23,8,21,8,8,21,,,,,,,
,,676,broskiumenyiora,179,4,90,,,,,,,,,31,55,,,,,,3,
,,678,mooscolly,178,9,50,7,,,,4,15,23,15,27,29,,,,,,12,
,,678,Biggi86,178,4,105,,,,,,,,,21,2,,50,,,,,
,,678,Boogeli,178,3,105,,,,,27,46,,,,,,,,,,,
,,678,Medicus,178,3,105,,,,,,,,,36,37,,,,,,,
,,678,Bulb,178,3,125,,,,,,,,,22,31,,,,,,,
,,678,Ilidur,178,3,125,,,,,,,,,12,41,,,,,,,
,,678,eggmancs,178,3,125,,,,,,,,,22,31,,,,,,,
,,685,HeartBreakKid,177,2,150,,,,,27,,,,,,,,,,,,
,,686,Taeveren,176,6,50,,,,,,27,21,8,36,34,,,,,,,
,,686,Shiffdog,176,6,90,,,,,,4,15,23,17,27,,,,,,,
,,686,sausagesky,176,3,125,,,,,,,,,24,27,,,,,,,
,,689,claxic,175,2,150,,,,,,,,,,,,,,25,,,
,,690,marizee412,174,13,50,2,11,22,20,21,8,21,4,8,19,,,10,10,,,
,,691,gulper,172,5,105,,,2,15,,27,,23,,,,,,,,,
,,692,Rabus,171,3,125,23,23,,,,,,,,,,,,,,,
,,692,dannymcbride,171,3,125,,,,,,,,,22,24,,,,,,,
,,694,Drizzt84,169,5,90,11,22,26,20,,,,,,,,,,,,,
,,694,joniboni,169,3,105,,,,,,,,,27,37,,,,,,,
,,694,humanmoves,169,3,125,,,,,,,,,17,27,,,,,,,
,,694,Nevic,169,3,140,,,,,,,,,21,8,,,,,,,
,,698,tiffelvet,168,3,125,,,,,,,,,21,22,,,,,,,
,,699,DaemonCleaner,167,3,,,,,,,,,,47,65,,55,,,,,
,,700,weed14,166,9,,23,20,20,,21,15,21,27,19,,,,,,7,,
,,700,LordHomeOffice,166,4,,47,43,30,46,,,,,,,,,,,,,
,,700,mikey1nt,166,6,50,7,34,43,,,,,,22,,,,,10,,,
,,703,layze23,165,3,105,,,,,,,,,,,,50,,10,,,
,,703,Fapoleon,165,2,150,15,,,,,,,,,,,,,,,,
,,703,gregt,165,1,,,,,,,,165,,,,,,,,,,
,,706,Rossonerix10x,164,6,90,15,20,,,21,,,,,,,,,10,8,,
,,707,Bedrich_H,163,9,50,11,20,7,22,23,8,21,8,,,,,,,,,
,,707,BGTigger,163,7,50,7,20,20,1,,,,,31,34,,,,,,,
,,707,Enas,163,3,105,,,,,,,,,27,31,,,,,,,
,,707,VikingLeif,163,2,,43,,,,,,,,,,,,120,,,,
,,711,demainlesdauphins,162,8,,,,11,46,,15,27,21,12,21,,,,,,9,
,,711,matti5215,162,10,105,2,20,7,22,2,2,2,2,,1,,,,,,,
,,713,ElTanque35,161,5,,,,11,34,,15,46,55,,,,,,,,,
,,713,ZacDeMundo,161,7,50,20,11,22,22,,,,,6,,,,30,,,,
,,713,Kermit19,161,3,105,,,,,,,,,,34,,,,,,22,
,,713,Mikeski,161,3,125,,,,,,,,,12,24,,,,,,,
,,717,irule,160,7,50,,,,27,,4,8,27,17,27,,,,,,,
,,717,Hanthelmor,160,6,90,22,22,20,,4,2,,,,,,,,,,,
,,717,Onlineguy,160,2,150,,,,,,,,,,,,,,10,,,
,,717,Darkksun,160,2,150,,,,,,,,,,,,,,10,,,
,,721,Dunketelin,159,7,90,20,4,20,20,,,,,4,1,,,,,,,
,,721,HolyOutlaw,159,7,90,,,,,2,2,4,15,24,22,,,,,,,
,,721,Vanilla,159,3,125,,,4,30,,,,,,,,,,,,,
,,724,Kozzilla,158,9,50,22,20,,,2,,4,4,12,36,,,,10,,,
,,724,PacoHolliday,158,7,50,20,4,20,4,,,,,24,36,,,,,,,
,,724,EugeneB,158,3,125,,,,,,,,,21,12,,,,,,,
,,724,Metz63,158,2,150,,,,,8,,,,,,,,,,,,
,,728,marcusesses1,157,4,105,,,,,27,23,,2,,,,,,,,,
,,729,Piotr33,156,4,50,,,,,46,41,,,19,,,,,,,,
,,729,wirymen,156,3,150,,,,,4,2,,,,,,,,,,,
,,731,Midyat,155,3,125,,,,,,,,,8,22,,,,,,,
,,732,Giga,154,4,,52,,,,41,34,27,,,,,,,,,,
,,732,Helen-the-great,154,3,105,,,,,,,,,27,22,,,,,,,
,,734,ClaridadNocturna,153,7,50,4,26,22,22,,,,,8,21,,,,,,,
,,734,Albino,153,4,90,15,26,22,,,,,,,,,,,,,,
,,734,Ananasantti,153,4,105,22,22,,,4,,,,,,,,,,,,
,,734,taltal,153,3,105,,,,,,,,,24,24,,,,,,,
,,734,woodabooga,153,3,125,,,,,,,,,22,6,,,,,,,
,,739,Backburner,152,2,125,,,,,27,,,,,,,,,,,,
,,740,RiRu,151,7,50,,,2,4,,,,,31,37,,,,10,17,,
,,740,IrenaX,151,12,50,2,22,20,20,2,4,4,2,6,19,,,,10,,,
,,740,PiotrekB,151,4,,30,34,47,40,,,,,,,,,,,,,
,,740,theChony,151,2,125,26,,,,,,,,,,,,,,,,
,,744,tanman,150,9,50,20,11,20,7,4,15,23,4,,,,,,,,,
,,744,Seppel,150,5,50,,,,,27,23,27,23,,,,,,,,,
,,744,TEPBEP,150,3,90,34,26,,,,,,,,,,,,,,,
,,744,JSauve,150,1,150,,,,,,,,,,,,,,,,,
,,744,Psynergist,150,1,150,,,,,,,,,,,,,,,,,
,,744,NapoleonB,150,1,150,,,,,,,,,,,,,,,,,
,,744,BoB94,150,1,150,,,,,,,,,,,,,,,,,
,,744,smollov,150,1,150,,,,,,,,,,,,,,,,,
,,744,Devius,150,1,150,,,,,,,,,,,,,,,,,
,,744,florian629,150,1,150,,,,,,,,,,,,,,,,,
,,744,Andiii,150,1,150,,,,,,,,,,,,,,,,,
,,744,Diaz,150,1,150,,,,,,,,,,,,,,,,,
,,756,Jaja,149,5,105,,,,,2,4,15,23,,,,,,,,,
,,756,stripe999,149,3,105,22,22,,,,,,,,,,,,,,,
,,758,BerdBlond,148,7,105,,,,,4,4,4,8,21,2,,,,,,,
,,759,icepick_mn,147,3,105,,,,,,,,,6,36,,,,,,,
,,760,Michal_Kossakowski,146,3,105,,,,,,,,,17,24,,,,,,,
,,760,CrushU,146,2,105,,,,,,,,,41,,,,,,,,
,,760,pigfans,146,1,,,,,,,,,,,,,,,,,146,
,,763,FunkcniPC,145,3,90,,,,,,,,,24,31,,,,,,,
,,763,JeJenan,145,2,,,,,,,,,,,,,,120,25,,,
,,765,PontiusPilatus,144,3,50,47,,,,47,,,,,,,,,,,,
,,765,Igordol,144,5,105,,,,1,15,21,2,,,,,,,,,,
,,765,Gabilou,144,3,105,,,,,,,,,22,17,,,,,,,
,,765,McNeil,144,2,140,,,,,,4,,,,,,,,,,,
,,769,RJonkers,142,7,50,,,,,21,4,8,21,17,21,,,,,,,
,,769,Brickmarck,142,4,105,,,,,21,8,8,,,,,,,,,,
,,769,M.T,142,2,125,,,,,,,,,,17,,,,,,,
,,772,KapitanTom,141,7,50,,,,,23,27,21,4,4,12,,,,,,,
,,772,methak,141,5,90,,,,,,15,23,4,,,,,,,9,,
,,772,tysat,141,4,105,,,,,,,,2,12,22,,,,,,,
,,772,Igelkotten,141,3,105,,,,,,,,,12,24,,,,,,,
,,772,Martin2021,141,3,125,,,,15,,,,,1,,,,,,,,
,,777,Schallers3000,140,4,50,23,20,,,47,,,,,,,,,,,,
,,777,Pieroz88,140,2,,,,,,,,,,65,75,,,,,,,
,,777,Pack,140,1,140,,,,,,,,,,,,,,,,,
,,777,Blackbolt53,140,1,140,,,,,,,,,,,,,,,,,
,,777,meleke,140,1,140,,,,,,,,,,,,,,,,,
,,777,SaMatra,140,1,140,,,,,,,,,,,,,,,,,
,,777,Rychlik,140,1,140,,,,,,,,,,,,,,,,,
,,777,Cmacu,140,1,140,,,,,,,,,,,,,,,,,
,,777,satur,140,1,140,,,,,,,,,,,,,,,,,
,,777,ranch99,140,1,140,,,,,,,,,,,,,,,,,
,,777,Machote,140,1,140,,,,,,,,,,,,,,,,,
,,777,GedoMazo,140,1,140,,,,,,,,,,,,,,,,,
,,777,Biancus,140,1,140,,,,,,,,,,,,,,,,,
,,790,Ayakonutty,139,3,105,,,,,,,,,12,22,,,,,,,
,,791,Scurvydraco,138,3,90,,,,,27,21,,,,,,,,,,,
,,791,nosnah,138,7,50,2,20,20,,15,21,,,,,,,,10,,,
,,793,Garghiii,137,7,,,,26,23,,,23,8,17,24,,,,,,16,
,,794,Torneedo,136,2,125,,,,,,,,,,,,,,,11,,
,,795,vgiannog,135,3,90,,,,,,,,,24,21,,,,,,,
,,795,KubikD,135,3,105,,,,,,,,,6,24,,,,,,,
,,795,BedrockLP,135,2,125,,,,,,,,,,,,,,10,,,
,,795,YSun,135,2,125,,,,,,,,,,,,,,10,,,
,,799,Momomillion,134,4,,,,27,46,,,15,46,,,,,,,,,
,,799,Spriteule,134,4,90,,,,,27,,,,,,,,10,,,7,
,,801,bobcatbob,132,14,50,4,22,20,4,2,2,4,2,4,2,,,10,10,12,,
,,801,EmiratesOfHacan,132,4,,30,34,34,34,,,,,,,,,,,,,
,,801,rstrack,132,3,90,15,,,,27,,,,,,,,,,,,
,,804,J-dog,131,7,50,20,7,20,7,,,,,6,21,,,,,,,
,,804,TBC,131,2,90,,,,,,,,,41,,,,,,,,
,,806,Dimitris,130,11,50,4,20,20,20,2,8,2,4,2,4,,,,,,,
,,806,TAOxEagle,130,4,50,20,,,,,,,,24,36,,,,,,,
,,806,KrolKarol,130,3,105,15,,,,,,,,,,,,,10,,,
,,809,richardhell,129,4,,,,15,34,,,,,29,51,,,,,,,
,,809,fraction,129,2,125,,,,,,,,,4,,,,,,,,
,,811,NRoy,128,7,,,,4,22,,15,27,21,12,27,,,,,,,
,,811,FabioBE81,128,9,20,22,11,23,34,8,8,2,2,,,,,,,,,
,,811,Izio,128,8,50,1,2,20,20,,,,,19,6,,,10,,,,
,,811,Megatron,128,2,105,,,,,23,,,,,,,,,,,,
,,815,Grogmir,127,2,,75,52,,,,,,,,,,,,,,,
,,816,RudyRunner666,126,3,,52,,,27,47,,,,,,,,,,,,
,,816,Woodenman,126,3,,59,40,,,27,,,,,,,,,,,,
,,816,MarcoM,126,4,90,,,,1,,,,,8,27,,,,,,,
,,816,Robson_Ponte,126,2,105,,,,,21,,,,,,,,,,,,
,,820,mindphaser,125,9,50,1,15,22,20,4,4,,,,4,,,,,6,,
,,820,vratia,125,12,20,7,20,20,2,23,2,2,2,6,19,,,10,,,,
,,820,Valec,125,6,,,7,22,30,,,,,12,24,,,30,,,,
,,820,Puren94,125,1,125,,,,,,,,,,,,,,,,,
,,820,beecu,125,1,125,,,,,,,,,,,,,,,,,
,,820,aoe2champ,125,1,125,,,,,,,,,,,,,,,,,
,,820,danielusuga,125,1,125,,,,,,,,,,,,,,,,,
,,820,Kvist,125,1,125,,,,,,,,,,,,,,,,,
,,820,Petardillo,125,1,125,,,,,,,,,,,,,,,,,
,,820,samgreco,125,1,125,,,,,,,,,,,,,,,,,
,,820,yhw,125,1,125,,,,,,,,,,,,,,,,,
,,820,Ferguse72,125,1,125,,,,,,,,,,,,,,,,,
,,820,Bravo,125,1,125,,,,,,,,,,,,,,,,,
,,820,CardinalBadger,125,1,125,,,,,,,,,,,,,,,,,
,,820,LukeHeinz57,125,1,125,,,,,,,,,,,,,,,,,
,,820,Valsim,125,1,125,,,,,,,,,,,,,,,,,
,,820,jratana1,125,1,125,,,,,,,,,,,,,,,,,
,,820,traskmania,125,1,125,,,,,,,,,,,,,,,,,
,,820,Covid_19,125,1,125,,,,,,,,,,,,,,,,,
,,820,Neptian,125,1,125,,,,,,,,,,,,,,,,,
,,820,ElDiabloAzul,125,1,125,,,,,,,,,,,,,,,,,
,,820,JohnyT,125,1,125,,,,,,,,,,,,,,,,,
,,820,PyBel,125,1,125,,,,,,,,,,,,,,,,,
,,820,pablocg,125,1,125,,,,,,,,,,,,,,,,,
,,820,Maciej,125,1,125,,,,,,,,,,,,,,,,,
,,820,Pika07,125,1,125,,,,,,,,,,,,,,,,,
,,820,Allmrak,125,1,,,,,,,,,,125,,,,,,,,
,,847,Cyrus_j2s,124,3,90,4,30,,,,,,,,,,,,,,,
,,847,sirlenon,124,3,90,,,,,,,,,12,22,,,,,,,
,,847,botenmaru82,124,2,105,,,,,,,,,19,,,,,,,,
,,850,maunzzz,123,6,,,,27,22,,,8,27,17,22,,,,,,,
,,850,Andreyko2003,123,3,90,,,,,,,,,6,27,,,,,,,
,,850,Ragnard,123,3,90,,,,,,,,,21,12,,,,,,,
,,853,MaxBoomer,122,3,90,,,,,,,,,22,,,,,10,,,
,,853,Rajasands,122,3,90,,,,,,,,,8,24,,,,,,,
,,853,Geegs,122,2,105,,,,,,,,,,,,,,,17,,
,,856,JoeBa,121,5,50,22,20,,,21,8,,,,,,,,,,,
,,856,Schedar,121,2,90,,,,,,,,,,31,,,,,,,
,,858,Francis88,120,7,,,,15,30,,2,15,23,8,27,,,,,,,
,,858,Nicks,120,4,,20,7,46,47,,,,,,,,,,,,,
,,858,Maukka,120,3,90,22,,,,8,,,,,,,,,,,,
,,858,Moxielle,120,3,90,,,,,,,,,8,22,,,,,,,
,,858,Chrono_,120,3,90,,,,,,,,,8,22,,,,,,,
,,858,Pirigin,120,2,105,15,,,,,,,,,,,,,,,,
,,858,MichalJar,120,2,105,,,,,,15,,,,,,,,,,,
,,865,CuteAnn,119,3,90,,,,,,,,,8,21,,,,,,,
,,866,Jocik,117,3,90,,,,,,,,,21,6,,,,,,,
,,866,Amarok,117,3,90,,,,,,,,,6,21,,,,,,,
,,868,Wiktor,116,7,50,,,,,8,21,8,15,2,12,,,,,,,
,,869,Clue72,115,3,,,,,,55,41,,,,,,,,,,19,
,,869,torstenk,115,6,,,15,30,30,,15,21,4,,,,,,,,,
,,869,Kojtic,115,2,105,,,,,,,,,,,,,,10,,,
,,872,Vinny6060,114,5,50,1,7,30,26,,,,,,,,,,,,,
,,872,littlesquirrel,114,2,,,,,,,,,,34,80,,,,,,,
,,874,SullyWully,113,3,105,,,,,,,,,4,4,,,,,,,
,,875,Ti-Guy_Latour,110,4,,23,30,23,34,,,,,,,,,,,,,
,,875,AnBeLi3v4bLe,110,11,50,20,2,1,2,2,2,2,8,4,22,,,,,,,
,,877,andykr,109,3,90,,,,,,,,,2,17,,,,,,,
,,877,Daze,109,3,90,,,,,,,,,2,17,,,,,,,
,,879,Icarium,108,12,50,20,1,2,2,8,4,4,8,2,4,,,,10,,,
,,880,Jacko65,107,7,50,20,4,20,7,,,,,4,2,,,,,,,
,,881,Asperins,106,3,90,,,,,,,,,4,12,,,,,,,
,,881,Tonino,106,9,50,,,,1,8,2,2,4,6,24,,,,10,,,
,,881,Rebel_Rebs,106,5,,,,,,,27,27,21,12,19,,,,,,,
,,881,GamesClaw,106,6,,,,,,27,21,2,2,27,27,,,,,,,
,,885,GWItheUltimate,105,7,50,,,,,4,8,4,8,12,19,,,,,,,
,,885,Lennart,105,1,105,,,,,,,,,,,,,,,,,
,,885,Bahul,105,1,105,,,,,,,,,,,,,,,,,
,,885,Ockham,105,1,105,,,,,,,,,,,,,,,,,
,,885,ConorS,105,1,105,,,,,,,,,,,,,,,,,
,,885,jerre8,105,1,105,,,,,,,,,,,,,,,,,
,,885,PedrinhoPT,105,1,105,,,,,,,,,,,,,,,,,
,,885,Sprox,105,1,105,,,,,,,,,,,,,,,,,
,,885,RainyDay,105,1,105,,,,,,,,,,,,,,,,,
,,885,Bricks718,105,1,105,,,,,,,,,,,,,,,,,
,,885,mythianan,105,1,105,,,,,,,,,,,,,,,,,
,,885,rslyzc,105,1,105,,,,,,,,,,,,,,,,,
,,885,Luedegast,105,1,105,,,,,,,,,,,,,,,,,
,,885,Sheepstealer,105,1,105,,,,,,,,,,,,,,,,,
,,885,Guylikikipoile,105,1,105,,,,,,,,,,,,,,,,,
,,885,wejejeei,105,1,105,,,,,,,,,,,,,,,,,
,,885,DocFleischmann,105,1,105,,,,,,,,,,,,,,,,,
,,885,salvor7,105,1,105,,,,,,,,,,,,,,,,,
,,885,Emiliano,105,1,105,,,,,,,,,,,,,,,,,
,,885,mrcy,105,1,105,,,,,,,,,,,,,,,,,
,,885,Benici,105,1,105,,,,,,,,,,,,,,,,,
,,885,Melingsguten,105,1,105,,,,,,,,,,,,,,,,,
,,885,Loscy,105,1,105,,,,,,,,,,,,,,,,,
,,885,Ian357,105,1,105,,,,,,,,,,,,,,,,,
,,885,Doddus,105,1,105,,,,,,,,,,,,,,,,,
,,885,Black8,105,1,105,,,,,,,,,,,,,,,,,
,,885,The_strategiser,105,1,105,,,,,,,,,,,,,,,,,
,,885,Stefan665,105,1,105,,,,,,,,,,,,,,,,,
,,885,likkle1,105,1,105,,,,,,,,,,,,,,,,,
,,885,Grishnakk,105,1,105,,,,,,,,,,,,,,,,,
,,915,RobinTheDragon,104,6,,,,11,23,,8,27,,8,27,,,,,,,
,,915,karatox,104,5,50,11,20,,,21,2,,,,,,,,,,,
,,915,TaoTeo,104,4,50,20,4,30,,,,,,,,,,,,,,
,,918,buste,103,3,,43,26,34,,,,,,,,,,,,,,
,,919,filgonfin,101,7,50,2,2,2,2,,,,,24,19,,,,,,,
,,920,ToSt,100,2,90,,,,,,,,,,,,,,10,,,
,,920,Palace,100,2,90,,,,,,,,,,,,,,10,,,
,,920,Tuisku,100,2,90,,,,,,,,,,,,,,10,,,
,,923,Dubz,99,3,50,,,,,,,,,27,22,,,,,,,
,,924,Mitchum,98,6,50,,,,,,,15,21,4,2,,,,,6,,
,,924,ssacz,98,2,90,,,,,8,,,,,,,,,,,,
,,924,cibernyam,98,3,50,,,,,21,27,,,,,,,,,,,
,,924,Nikauw,98,2,90,,,,,,,,,8,,,,,,,,
,,924,Saish,98,3,90,,,,,,,,,4,4,,,,,,,
,,924,Mirceamsc1,98,2,90,,,,,,,,,8,,,,,,,,
,,930,Samantho,97,11,20,2,20,20,23,4,4,2,2,2,4,,,,,,,
,,931,Jume,96,7,,,,2,7,,4,8,21,32,22,,,,,,,
,,931,KTown,96,4,50,,,,,,,,15,19,12,,,,,,,
,,931,kopu,96,3,,,,,,15,34,47,,,,,,,,,,
,,931,Viler,96,3,50,23,23,,,,,,,,,,,,,,,
,,931,Andreasp88,96,2,90,,,,,,,,,6,,,,,,,,
,,931,Raphi,96,2,90,,,,,,,,,,6,,,,,,,
,,937,WraightCZ,95,11,20,1,1,1,2,8,21,15,21,2,6,,,,,,,
,,937,Hampsink,95,3,90,,,,,,,,,4,1,,,,,,,
,,939,DBaker17,94,7,20,4,20,20,20,,,,,4,6,,,,,,,
,,939,redantx,94,3,50,,,,,,,,,22,22,,,,,,,
,,939,Tenebrane,94,2,90,,,,,,,,,4,,,,,,,,
,,942,Dumnac,93,7,,,1,11,22,,15,21,15,,,,,,,8,,
,,942,Rob51,93,6,,7,22,20,1,,,,,22,21,,,,,,,
,,942,jogkongTW,93,5,,22,20,22,,8,21,,,,,,,,,,,
,,942,thelittlejim,93,3,50,23,20,,,,,,,,,,,,,,,
,,946,Hashlerka,92,4,,,,,,,,27,21,8,36,,,,,,,
,,946,cultro,92,2,90,,,,,,,,,,2,,,,,,,
,,948,Jochabeth,91,5,,,11,23,23,,,,,12,22,,,,,,,
,,948,prozio,91,3,50,,,,,,,,,17,24,,,,,,,
,,950,KTMatthews,90,7,20,,,,,23,8,23,4,4,8,,,,,,,
,,950,FLOW_OF_C_H,90,1,90,,,,,,,,,,,,,,,,,
,,950,Azazelek,90,1,90,,,,,,,,,,,,,,,,,
,,950,alexruzzier,90,1,90,,,,,,,,,,,,,,,,,
,,950,aloci,90,1,90,,,,,,,,,,,,,,,,,
,,950,draxius,90,1,90,,,,,,,,,,,,,,,,,
,,950,Skarsh,90,1,90,,,,,,,,,,,,,,,,,
,,950,Diegaccio,90,1,90,,,,,,,,,,,,,,,,,
,,950,Gadgame,90,1,90,,,,,,,,,,,,,,,,,
,,950,IngussTT,90,1,90,,,,,,,,,,,,,,,,,
,,950,Gurhuntar,90,1,90,,,,,,,,,,,,,,,,,
,,950,prnv1992,90,1,90,,,,,,,,,,,,,,,,,
,,950,calatravag,90,1,90,,,,,,,,,,,,,,,,,
,,950,CRISPYBABY,90,1,90,,,,,,,,,,,,,,,,,
,,950,fas723,90,1,90,,,,,,,,,,,,,,,,,
,,950,Norgaimen,90,1,90,,,,,,,,,,,,,,,,,
,,950,Msandry,90,1,90,,,,,,,,,,,,,,,,,
,,950,Namian,90,1,90,,,,,,,,,,,,,,,,,
,,950,Hotti180,90,1,90,,,,,,,,,,,,,,,,,
,,950,Yunseok,90,1,90,,,,,,,,,,,,,,,,,
,,950,pepikos,90,1,90,,,,,,,,,,,,,,,,,
,,950,chisuru,90,1,90,,,,,,,,,,,,,,,,,
,,950,Arius,90,1,90,,,,,,,,,,,,,,,,,
,,950,nge,90,1,90,,,,,,,,,,,,,,,,,
,,950,Gardir,90,1,90,,,,,,,,,,,,,,,,,
,,950,MATADORDELMAR,90,1,90,,,,,,,,,,,,,,,,,
,,950,maciejka,90,1,90,,,,,,,,,,,,,,,,,
,,950,alibengoeroe,90,1,90,,,,,,,,,,,,,,,,,
,,950,BigAAA,90,1,90,,,,,,,,,,,,,,,,,
,,950,uday,90,1,90,,,,,,,,,,,,,,,,,
,,950,Pastiness,90,1,90,,,,,,,,,,,,,,,,,
,,950,TbeDataGuy,90,1,90,,,,,,,,,,,,,,,,,
,,982,LadyValaria,89,9,50,,,,,2,2,4,2,2,6,,,10,,13,,
,,983,pgierasi,87,3,50,,,,,27,,,,,,,,10,,,,
,,984,Jiffy,86,3,,,,,,,27,23,,,36,,,,,,,
,,984,Bonneville22,86,3,50,,,,,,,,,19,17,,,,,,,
,,986,Panxo,85,5,50,,,,4,,,8,21,2,,,,,,,,
,,986,DeNnY0810,85,5,50,1,1,,,23,,,,,,,,10,,,,
,,986,Barboucha,85,1,,,,,,,,,,,,,,,,,,85
,,989,justinkejs,84,2,50,,,,,34,,,,,,,,,,,,
,,990,Repick,83,4,20,,15,26,22,,,,,,,,,,,,,
,,990,Alexo,83,3,,22,,15,46,,,,,,,,,,,,,
,,992,Nitrosaurus24,81,7,20,4,20,20,1,,,,,4,12,,,,,,,
,,992,Elsumo,81,3,,,,,,,27,27,27,,,,,,,,,
,,992,NicolBolas,81,2,,,,,,,,,,34,47,,,,,,,
,,995,Rancho,79,3,50,,,,,8,21,,,,,,,,,,,
,,996,Zazabuzao,78,4,50,4,,4,20,,,,,,,,,,,,,
,,996,Sirovec,78,7,50,2,1,2,4,,,,,2,17,,,,,,,
,,998,ThomasM,77,4,,11,20,20,26,,,,,,,,,,,,,
,,998,szyszuniawiesz,77,3,50,,,,,,,,,6,21,,,,,,,
,,1000,Frabac,76,11,20,1,4,22,20,2,4,2,2,1,1,,,,,,,
,,1000,Bathman,76,5,,,,,7,,,8,27,12,22,,,,,,,
,,1000,ReneTTA,76,4,,,,,,,8,,15,17,36,,,,,,,
,,1000,holy834,76,3,,,,,15,,,,27,,34,,,,,,,
,,1000,Batallon,76,8,50,,,,,4,4,2,4,1,1,,,,10,,,
,,1005,mariyka,75,8,50,,,,,4,4,2,2,1,2,,,10,,,,
,,1005,JoopHuizinga,75,2,50,,,,,,,,,,,,,,25,,,
,,1005,gutibudoka,75,3,50,,,,,,,,,6,19,,,,,,,
,,1005,Swampzombie,75,1,,,,,,,75,,,,,,,,,,,
,,1009,1977dragon,74,5,,,,11,22,,8,27,,6,,,,,,,,
,,1010,Metil,73,2,50,,,,,23,,,,,,,,,,,,
,,1010,Dometcalf,73,2,50,,,,,23,,,,,,,,,,,,
,,1010,sunian,73,2,,,,,,,,,,22,51,,,,,,,
,,1013,RobertdeSable,71,3,,22,,,,,,15,34,,,,,,,,,
,,1013,Tukhachevsky,71,2,50,,,,,,,,,21,,,,,,,,
,,1013,pabula,71,2,50,,,,,,,,,21,,,,,,,,
,,1016,chen.,70,4,,,,,4,,,,8,22,36,,,,,,,
,,1016,LeBonus,70,2,,,,,,,,,,34,36,,,,,,,
,,1016,nuvolaz,70,2,50,20,,,,,,,,,,,,,,,,
,,1019,Nickeberg,69,1,,,,,,,,,69,,,,,,,,,
,,1020,BelieveDream,68,2,,,,,,,,,,17,51,,,,,,,
,,1021,tiagosilva,67,4,20,23,20,,,4,,,,,,,,,,,,
,,1022,FabioMP,66,9,20,2,1,4,20,,,2,2,6,,,,,10,,,
,,1022,Glamdring,66,6,50,2,4,,4,2,,,4,,,,,,,,,
,,1024,pj79,64,3,50,,,,,,,,,2,12,,,,,,,
,,1025,ndzwdz,63,6,20,,,,,4,8,,,4,2,,,,25,,,
,,1025,FrancoisFerdinand,63,3,,,11,26,26,,,,,,,,,,,,,
,,1025,xyx,63,2,,,,,,,,,,22,41,,,,,,,
,,1025,Noa1,63,2,,,,,,,,,,22,41,,,,,,,
,,1025,lcj,63,2,,,,,,,,,,22,41,,,,,,,
,,1025,Ratsia,63,2,50,,,,,,,,,,,,,,,13,,
,,1031,FuManchu,62,6,50,,,,,,2,4,4,1,1,,,,,,,
,,1031,Nognix,62,3,50,,,,,2,,,,,,,,,10,,,
,,1031,sdzy,62,3,50,,,,,2,,,,,,,,,10,,,
,,1031,Cromlech,62,2,50,,,,,,,,,,12,,,,,,,
,,1035,GoblinMatron,61,2,,,,27,34,,,,,,,,,,,,,
,,1036,nicg,60,2,50,,,,,,,,,,,,,,,10,,
,,1036,jhutc,60,2,,,,,,,,,,24,36,,,,,,,
,,1036,VladBenez,60,2,50,,,,,,,,,,,,,,10,,,
,,1036,Hokingfai,60,2,50,,,,,,,,,,,,,,10,,,
,,1036,Marthy,60,1,60,,,,,,,,,,,,,,,,,
,,1036,rdztfidh,60,1,,,,,,,,,,,,,,60,,,,
,,1042,GerrySalinas,59,1,,59,,,,,,,,,,,,,,,,
,,1043,Tmer,58,2,,,,,,,,,,22,36,,,,,,,
,,1043,ZwzwNzw,58,2,,,,,,,,,,22,36,,,,,,,
,,1043,fantasyyu,58,2,,,,,,,,,,17,41,,,,,,,
,,1046,jdl,56,3,20,,,,,15,21,,,,,,,,,,,
,,1046,Ankaru,56,3,50,,,,,,,,,2,4,,,,,,,
,,1048,ChipsChipsensen,55,4,,,,27,22,,,4,2,,,,,,,,,
,,1048,T.KAZ3-1,55,3,,,,,7,,,27,21,,,,,,,,,
,,1050,PIRCSUPREME,54,2,,,,,,,,27,27,,,,,,,,,
,,1050,kalev,54,4,,,,,15,,,8,27,,4,,,,,,,
,,1050,SPEEDOWAGON,54,2,50,4,,,,,,,,,,,,,,,,
,,1050,Korsus,54,2,50,,,,4,,,,,,,,,,,,,
,,1050,Raze27,54,2,50,,,,,4,,,,,,,,,,,,
,,1050,Abuceb,54,2,50,,,,,,,,4,,,,,,,,,
,,1056,Muning,53,2,,,,,,,,,,12,41,,,,,,,
,,1057,Kazan,52,2,50,,,,,2,,,,,,,,,,,,
,,1057,Vlasy,52,2,50,,,,,2,,,,,,,,,,,,
,,1059,Ilyanep,51,4,,4,20,7,20,,,,,,,,,,,,,
,,1060,BlueCardinal,50,1,50,,,,,,,,,,,,,,,,,
,,1060,OGWiseman,50,1,50,,,,,,,,,,,,,,,,,
,,1060,Jagophile,50,1,50,,,,,,,,,,,,,,,,,
,,1060,Revan,50,1,50,,,,,,,,,,,,,,,,,
,,1060,Mochi1214,50,1,50,,,,,,,,,,,,,,,,,
,,1060,HnNAdventures,50,1,50,,,,,,,,,,,,,,,,,
,,1060,gwfalcon,50,1,50,,,,,,,,,,,,,,,,,
