,,place,player,points,#,wrld,ic_24,ic_25,ic_26,ic_27,im_21,im_22,im_23,im_24,rl_01,rl_02,,snail,wmbl,aus,eif,ml,qd
,,62,Musan,1 464,14,450,46,43,46,59,150,100,125,230,115,75,,85,,,130,164,
,,63,ElChupacabra,1 460,12,310,52,92,105,125,180,230,250,150,90,110,,,,,,87,
,,64,Spartan1337,1 455,14,220,165,170,200,130,125,165,150,85,190,115,,,,,195,28,75
,,65,maiquelPS,1 392,12,180,92,165,170,150,125,100,165,180,130,142,,240,,,,,
,,66,WanderingWolf,1 357,10,240,125,165,230,240,69,92,100,165,,,,,,50,,,
,,67,Masox,1 344,15,220,125,140,95,95,41,46,55,69,150,150,,,,50,280,184,20
,,68,FreddyCrugerKiller,1 324,8,370,150,200,150,200,69,55,,,130,,,,,,,,
,,69,Airren,1 317,2,,,,,,,,,,657,,,,,660,,,
,,69,Skaiwalker,1 317,11,220,300,240,150,140,55,69,92,100,,,,,,10,75,,
,,71,takusto_II,1 300,12,220,165,150,200,230,47,46,92,100,110,125,,,,25,,,
,,72,Huettengaudi,1 280,12,310,105,95,165,170,100,75,55,69,,,,,,25,240,,95
,#N/A,72,daimx,1 280,14,220,95,95,105,85,69,55,46,92,150,135,,,,,110,370,95
,#N/A,74,Fjantarik,1 277,9,450,125,125,95,165,46,92,100,125,,,,,,,,,
,,75,delonecarter,1 254,12,370,95,105,125,95,85,69,75,92,,,,,,200,,104,160
,,76,Sunmaster14_LV,1 239,17,220,165,140,95,80,92,100,85,69,100,130,,55,30,10,150,134,200
,,77,Firedart,1 213,16,220,85,75,52,92,165,140,125,150,100,130,,110,120,50,155,128,
,,78,gomensky,1 202,9,220,34,92,95,,46,69,,,,,,,60,50,,570,
,,79,AaronGreen,1 190,5,,240,170,230,,300,250,,,,,,,,,,,
,,79,wittr,1 190,12,260,150,130,165,140,100,85,41,34,87,150,,,,,95,,
,,81,Genghisip,1 155,2,1100,,,,,,,,,,,,,,,,,55
,#N/A,82,Garlett,1 137,10,140,130,125,165,140,92,165,180,,90,75,,,,,,,
,,83,St4nkk,1 130,3,800,,,,,,230,,,,,,,,100,,,
,#N/A,84,Arcee,1 119,8,,,,,,180,180,180,140,105,170,,50,,,,114,
,,85,Mark0n,1 112,15,240,59,92,85,85,27,46,69,92,160,70,,273,30,25,85,,
,,86,scipio238,1 110,12,140,92,125,125,125,92,100,165,230,100,100,,,,,,,25
,,87,treitze,1 107,9,525,80,92,80,43,85,,,,85,110,,,,50,,,
,,88,DJLAODIE,1 103,5,650,7,,,,46,,,,210,190,,,,,,,
