,,place,player,points,#,wrld,ic_28,ic_29,ic_30,ic_31,im_25,im_26,im_27,im_28,rl_03,rl_04,rl_05,rl_06,wmbl,aus,sl,ml,eif,qd,ldrb,
,,173,Jonny125,707,16,210,47,47,52,92,56,55,35,35,62,100,70,52,,10,26,,62,,,
,,174,Magesolo,701,19,130,69,59,47,69,30,30,42,35,52,70,70,70,10,100,94,98,68,60,,
,,174,ruby_buby,701,9,320,34,46,,,42,,,,44,55,,,,,13,108,52,,,
,,176,Michiel,700,1,700,,,,,,,,,,,,,,,,,,,,
,#N/A,177,ChosenWizard,697,9,260,52,40,34,30,102,90,64,55,,,,,,,,,,,,
,,178,DadboBaggins,695,11,130,75,52,47,59,90,102,100,64,,,,,,,30,75,,,,
,,179,Straszyk,691,5,320,85,80,,,,,,,,,,,,100,106,,,,,
,#N/A,180,Spence2102,685,14,95,34,46,69,43,55,56,49,56,60,95,90,80,,,140,,,,,
,,181,Dragonite,680,13,170,52,59,52,43,56,76,55,56,,,,,,10,86,97,80,,,
,,182,isman,673,9,115,,,46,52,,,56,49,130,125,80,,,,66,,,,,
,#N/A,183,DB.Starman,670,12,210,52,59,59,59,64,49,35,35,,,,,,10,112,,55,,,
,#N/A,184,Arcee,668,9,,,,,,90,55,42,56,160,70,60,95,,,,82,,,,
,,185,raist,666,17,115,85,75,52,92,30,12,30,42,39,52,95,100,,40,20,17,27,,,
,,186,Mark0n,662,12,170,105,80,52,,100,55,35,,32,38,60,,10,40,,,,,,
,,186,DavidSegoviano,662,18,140,43,30,34,69,64,55,56,55,52,50,52,47,100,40,120,58,48,,,
,,188,ChampDeGlace,658,16,140,46,69,52,69,90,76,64,49,80,45,52,70,40,10,55,,,,,
,#N/A,189,Daniii,656,13,115,30,34,69,43,76,102,90,64,70,70,35,,10,,,,,,,
,#N/A,190,HeirOfValyria,647,9,140,,,,,55,56,64,102,45,60,80,90,,,,,,,,
,,191,eggmancs,644,6,320,,,,,,,,,44,60,60,82,,,78,,,,,
,,192,Adamez,640,7,140,,,,,,,,,125,80,45,52,100,,98,,,,,
,#N/A,192,GoblinMatron,640,8,140,59,43,34,92,,,,,,,,52,40,180,,,,,,
,#N/A,194,BeatrixAnd,639,8,210,69,59,,,76,,,,52,60,,,,100,13,,,,,
,#N/A,195,Watlersen,633,13,130,46,47,52,92,30,35,56,102,,55,70,55,,,,,73,,,
,,196,eNroamer,630,11,115,75,69,59,,76,55,30,,75,60,60,,,100,,,,,,
,,197,AndriiN,620,11,75,,,,,56,102,100,55,50,52,80,100,,,37,,15,,,
,#N/A,198,MrFigu,618,5,210,,,,,76,102,115,115,,,,,,,,,,,,
,,199,St-Amadeus,610,16,115,46,43,46,92,56,49,56,76,55,80,80,50,,40,15,,49,,,
,,200,Dovi,608,11,170,69,52,59,47,56,55,35,42,,,,,10,100,,,,,,
,,201,Yookie,605,14,,,27,46,47,30,35,35,56,30,44,75,185,,,19,89,63,,,
,,202,rap2,603,13,115,47,47,52,40,30,30,42,,135,105,60,,,10,,,23,,,
,,203,Sellux,602,7,130,,,,,,,,,100,90,75,45,100,,62,,,,,
,,204,LordPeter,599,9,140,46,69,92,95,,,,,45,44,52,60,,,,,,,,
,,205,MurphyAKL,594,18,115,59,59,52,43,30,56,76,49,60,70,75,55,10,40,39,80,57,,,
,,205,Dayvs,594,17,115,15,34,34,92,64,76,64,49,35,44,35,44,40,,24,90,32,,,
,,207,Olesch,590,9,210,52,59,69,59,55,30,30,56,,,,,,,,,,,,
,,208,peposqui,588,9,,80,92,80,59,76,49,42,102,,,,,,,50,,,,,
,,209,ChipsAhoya,586,17,115,30,34,46,52,35,56,90,64,39,60,55,70,40,,58,73,21,,,
,,210,StonedHenge420,583,15,75,69,40,46,59,64,76,64,76,52,45,32,39,,100,,,25,,,
,,210,BirdOfPreyyy,583,10,115,,,,,42,56,55,30,70,30,28,35,,180,,,,,,
,,212,Amorin,580,9,140,43,,,,56,64,55,56,,,,,40,,24,126,,,,
,,213,CrownKiller,572,7,210,,,,,,,,,,60,70,55,,,56,9,112,,,
,,214,richardhell,570,9,170,,,27,46,,,30,42,70,90,70,52,,,,,,,,
,,214,Raskonin,570,1,570,,,,,,,,,,,,,,,,,,,,
,,216,Nickeberg,565,4,320,125,,,,,,,,110,,,,,10,,,,,,
,,217,RoxasVen,562,10,115,43,46,43,34,76,76,49,35,,,,,,,,114,,,,
,,218,Sohoof,561,2,470,,,,,,,,,,,,,,,91,,,,,
,,219,VampireD,556,7,170,27,34,,,,,,,20,38,,,,180,,87,,,,
,,220,RudyRunner666,550,8,,34,46,80,92,56,76,64,102,,,,,,,,,,,,
,,221,FenPlays,549,13,170,34,,27,34,42,,,,39,,52,60,40,10,84,28,62,,,
