Tournament,Date,Player1,Score1,Player2,Score2,Player3,Score3,Player4,Score4,Player_Count
French Open 2026 - group 86 game 1,2026-06-27,richardhell,171,Kimmo,154,Kozzilla,106.0,SCN,78.0,4
French Open 2026 - group 143 game 1,2026-06-28,andykr,292,Jurri,267,Ekdezel,209.0,firstfloorfinest,147.0,4
French Open 2026 - group 17 game 1,2026-06-28,NFGM,275,verbalg,191,IrenaX,155.0,boonio88,-5.0,4
French Open 2026 - group 175 game 1,2026-06-28,Hashlerka,295,BirdOfPreyyy,294,Ioannis3,261.0,LordMichael,232.0,4
French Open 2026 - group 27 game 1,2026-06-28,Bergen,309,Voras,290,Oleg787899,288.0,khyung,265.0,4
French Open 2026 - group 67 game 1,2026-06-28,Panthera,320,Vegeta4791,249,fridaK,234.0,Nostradamus5321,170.0,4
French Open 2026 - group 68 game 1,2026-06-28,saiggo16,382,sttailtw,250,Dolling,247.0,nanoprince,-5.0,4
French Open 2026 - group 76 game 1,2026-06-28,Adrianobf,336,Wennejoekel,258,kynj,240.0,PunchHorse,-5.0,4
French Open 2026 - group 96 game 1,2026-06-28,Bathman,259,Rebel_Rebs,234,Wolfdragons,201.0,Francesco1812,170.0,4
French Open 2026 - group 155 game 1,2026-06-29,EnozamaIV,237,TribunX,213,tue2k,195.0,Cromlech,167.0,4
French Open 2026 - group 169 game 1,2026-06-29,FlyGon,140,Lech,137,salvor7,111.0,Montu,-4.0,4
French Open 2026 - group 186 game 1,2026-06-29,Saerleon,204,BoatyMcBoatface,203,Amarok,163.0,SolPanda,150.0,4
French Open 2026 - group 21 game 1,2026-06-29,Leoneed.P87,250,lol1,236,haakonaugustus,219.0,stanze,186.0,4
French Open 2026 - group 89 game 1,2026-06-29,Togodomus,267,BGTigger,189,olawaco,138.0,noobgo,-5.0,4
French Open 2026 - group 135 game 1,2026-06-30,CloneFish,253,MidnightFox,217,collace,214.0,Izio,132.0,4
French Open 2026 - group 150 game 1,2026-06-30,Nepgear,209,Gabilou,174,Shiffdog,159.0,Moskbnea,142.0,4
French Open 2026 - group 22 game 1,2026-06-30,Obinger_Alphons,178,jacksonray,117,Jesaphi,87.0,hardsoul,50.0,4
French Open 2026 - group 47 game 1,2026-06-30,Peaceminusone,287,belowfox,257,Kazan,187.0,LeBonus,179.0,4
French Open 2026 - group 75 game 1,2026-06-30,Cogito3,272,Cooper,225,Aftheiss,197.0,Parcival,170.0,4
French Open 2026 - group 87 game 1,2026-06-30,boogy5,248,Sathran,203,OblongOrange,202.0,Hampsink,-4.0,4
French Open 2026 - group 97 game 1,2026-06-30,pessen,313,samlives,262,Pelej,248.0,Tonino,157.0,4
French Open 2026 - group 102 game 1,2026-07-01,Froggy42,200,Scooti,129,XRipper,-5.0,AlkashRusanovskiy,-5.0,4
French Open 2026 - group 123 game 1,2026-07-01,Opi,238,Nopeasuoli,212,M.T,200.0,Rockoccodrillo,105.0,4
French Open 2026 - group 131 game 1,2026-07-01,Beebs,312,Igelkotten,211,gwfalcon,205.0,NedNutt,-5.0,4
French Open 2026 - group 180 game 1,2026-07-01,etJake,202,Lamont_Gu,158,BitterBlossom,-3.0,Seiza,-5.0,4
French Open 2026 - group 189 game 1,2026-07-01,BlixLT,233,phoang,191,ShPini,148.0,J-dog,90.0,4
French Open 2026 - group 48 game 1,2026-07-01,NoswordKnight,196,Dragonite,173,metternich,155.0,rem_Abaddon,150.0,4
French Open 2026 - group 94 game 1,2026-07-01,Impr,227,Kecso,212,Nitrosaurus24,207.0,Zathio,147.0,4
French Open 2026 - group 108 game 1,2026-07-02,Pigeonpostman,233,Composaurus,185,Bizniouf,-3.0,jingjing123,-5.0,4
French Open 2026 - group 111 game 1,2026-07-02,ogre44444,241,JakPut,236,ce.re,224.0,abobey,197.0,4
French Open 2026 - group 144 game 1,2026-07-02,MarcoM,245,kenchan,227,ChipsAhoya,178.0,spaceport,174.0,4
French Open 2026 - group 145 game 1,2026-07-02,sergilicious,350,chobodrone,240,landrew,227.0,Samantho,130.0,4
French Open 2026 - group 176 game 1,2026-07-02,Bigsbyben,252,Garban7,246,Minkus,206.0,icepick_mn,195.0,4
French Open 2026 - group 36 game 1,2026-07-02,pigfans,240,takusto_II,236,Ralf-TtA,235.0,runningnemo,209.0,4
French Open 2026 - group 64 game 1,2026-07-02,Kivok,174,thomas.h.hoff,160,Attrill20,145.0,Firedart,129.0,4
French Open 2026 - group 157 game 1,2026-07-03,totsilence,156,Rob_Stedman,138,haimke,136.0,GerwinW,104.0,4
French Open 2026 - group 182 game 1,2026-07-03,Gandy,332,raist,313,gutibudoka,282.0,maciek,276.0,4
French Open 2026 - group 188 game 1,2026-07-03,rabalder,192,FenPlays,144,LMH,122.0,Podrik,-4.0,4
French Open 2026 - group 29 game 1,2026-07-03,Zielonus,169,yaop,156,sausagesky,148.0,Cat12,143.0,4
French Open 2026 - group 51 game 1,2026-07-03,blackwave,226,Ulyssess,217,GamesClaw,184.0,buttoxide,-5.0,4
French Open 2026 - group 62 game 1,2026-07-03,Noash,223,Papaver,173,vyvy,-5.0,Qirgi,-5.0,4
French Open 2026 - group 82 game 1,2026-07-03,DavidSegoviano,195,Kruch,134,Moulbaert,-5.0,CouchKing,-5.0,4
French Open 2026 - group 101 game 1,2026-07-04,LordHomeOffice,228,Padishar,203,Cyrus_j2s,180.0,vbogoev,146.0,4
French Open 2026 - group 124 game 1,2026-07-04,Paolol65,311,Tordread,265,Madivar,236.0,Claudius74,225.0,4
French Open 2026 - group 162 game 1,2026-07-04,Sun_Zoo,237,Drizzt84,165,Oyvind,123.0,Carbon14,114.0,4
French Open 2026 - group 164 game 1,2026-07-04,Sonder.,183,GerisNezus,128,Francesco_,116.0,marcusesses1,-5.0,4
French Open 2026 - group 167 game 1,2026-07-04,Kradmesor,255,ZioKhan,224,Mirceamsc1,209.0,vendogs,-5.0,4
French Open 2026 - group 24 game 1,2026-07-04,MindKillazz,252,broskiumenyiora,218,Jorrig,208.0,Helen-the-great,-5.0,4
French Open 2026 - group 30 game 1,2026-07-04,ERock37,237,ClaridadNocturna,124,Suddoman,75.0,vratia,27.0,4
French Open 2026 - group 43 game 1,2026-07-04,saru,230,MiloslavIII,173,JJsDad,168.0,Bonneville22,-5.0,4
French Open 2026 - group 61 game 1,2026-07-04,t0mk0t,293,pdx,268,SirDaan,250.0,seviech,155.0,4
